SMILES,QED,ChemAIrank
Cc1cccn(Cc2c(F)cccc2NC(=O)N2CC[C@@H]3CC[C@@H](O)[C@@H]32)c1=O,85.32,63.49
Cn1c(C2CC2)nc2cc(CNS(=O)(=O)c3cc4c(cc3F)NC(=O)CC4)ccc21,65.35,63.41
Cc1cc(C)nc(Nc2ccc(Cl)c(C(=O)NCc3cc(=O)c(O)cn3C)c2)n1,59.3,63.36
Cn1c(=O)cc(N2CCC(Nc3ccc(C#N)cn3)CC2)[nH]c1=O,84.65,63.27
Cc1ccnc(NC2CCc3c(nc(C)n3CCO)C2)c1[N+](=O)[O-],63.86,63.25
Cc1cc(C(=O)Nc2cc(Cl)c(Cl)cn2)nc2c1c(=O)n(C)c(=O)n2C,71.6,63.23
COc1ccc(S(=O)(=O)N2CCCCC2)cc1N.COc1ccc(S(=O)(=O)N2CCCCC2)cc1NS(=O)(=O)c1cc(C(=O)O)ccc1OC,23.86,63.23
CCCCN(C(=O)CCc1nc2c(c(=O)[nH]c(=O)n2CCCC)n1CC(C)C)c1ccccc1,43.38,63.17
CCCOc1ccc(CN(CCC)C(=O)c2nn(CCC)c(=O)c3ccccc23)cc1OCC,37.44,63.1
Cn1c(=O)c2c(ncn2CC(=O)N2CCCC(c3nc4ccccc4s3)C2)n(C)c1=O,48.25,63.06
Cn1cc(C=CC(=O)N2C(C(=O)O)CC3CCCCC32)c(=O)n(C)c1=O,78.26,63.04
CN(CC(=O)OCCCn1c(=O)c2c(ncn2C)n(C)c1=O)c1ncccn1,38.56,63.03
CC1(C)Cc2cccc(OCC(O)CN3CCN(C(c4ccccc4)c4ccccc4)CC3)c2O1.Cl,46.53,63.01
CC(C)CCN1C(=O)Cc2c1nc(N)c1c(N)nc(N3CC(C)OC(C)C3)c(C#N)c21,76.42,62.89
Fc1ccc(-c2cc(-c3csc(=NCCc4ccc(Cl)cc4Cl)n3N=Cc3cnn(-c4ccc(Cl)cc4)c3)on2)cc1,15.81,62.87
CCCCn1cnc2c1c(=O)n(CC(=O)Nc1cccc(F)c1)c(=O)n2CC(C)C,61.23,62.86
COc1ccc(CCn2c(-n3ncc4ccc(OC)c(OC)c4c3=O)nc3c2c(=O)n(C)c(=O)n3C)cc1,31.68,62.83
CC(C(=O)Nc1ncc(Cl)cc1Cl)n1nnc(-c2ccc(C(N)=O)cc2)n1,66.93,62.8
Cc1c(C(=O)N(C)Cc2ccc(Cl)c(Cl)c2)cnc2c1c(=O)n(C)c(=O)n2C,65.15,62.75
Cc1cc2occ(CC(=O)N(C)CC(=O)N(CC(C)C)c3c(N)n(CC(C)C)c(=O)[nH]c3=O)c2cc1C,45.36,62.73
