SMILES,QED,ChemAIrank
CC1Oc2c(cccc2C(=O)NCc2ccc(S(=O)(=O)N(C)C(C)C)cc2)NC1=O,73.06,55.37
CC(C)(C)P(=NC(=S)Nc1ccc(S(=O)(=O)N2CCCC2)cc1)(N1CCCCCC1)N1CCCCCC1,31.36,55.35
Cc1[nH]c(=O)c(C#N)c(C)c1CCC(=O)N(C)Cc1cccc(Cl)c1Cl,84.19,55.31
Cc1ccc(-c2nn(Cc3ccccc3)cc2C2NC(=S)NC(O)(C(F)(F)F)C2C(=O)c2cccc(C(F)(F)F)c2)cc1,13.59,55.26
Cc1cc(CN(C)C(C)C(=O)NC(N)=O)cc(C)c1OCC(F)(F)F,81.4,55.23
Cc1ccc(-n2ncc(N3CCC4(CC3)COC(CN)C4)c(Cl)c2=O)cc1Cl,82.12,55.22
COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)Nc1ccn(C)n1)C(=O)OC2,54.8,55.22
Cc1c(NC(=O)CC(NC(N)=O)c2cccs2)c(=O)n(-c2ccccc2)n1C,59.11,55.21
CC(C)c1ccc(C(=O)Nc2cc3c(cc2N2CCCCC2)n(C)c(=O)n3C)c(O)c1,66.73,55.2
Cc1cccc(NC(=O)c2cccc(Cl)c2Cl)c1C(=O)N1CCCC1,83.62,55.19
Cn1c(=O)c2c(ncn2CC(=O)NC2CCSc3ccccc32)n(C)c1=O,71.98,55.19
CC1Cc2cc(S(N)(=O)=O)ccc2N1Cc1c(F)c(F)c(F)c(F)c1F,49.63,55.18
CC(C)Oc1ccc(C(=O)Cn2cnc(C#N)c2C#N)cc1,78.88,55.17
CC(C)Cn1c(CCC(N)=O)nnc1SC(C)C(=O)N1c2ccccc2NC(=O)C1(C)C,58.63,55.12
CC(C)c1nc(C=Cc2ccc(C3(C#N)CC3)cc2)ncc1C(=O)O,89.26,55.1
CC(C)(O)CN1CCc2c(cccc2NC(=O)c2ccccc2OC2CC2)C1,80.37,55.08
CCCn1c(SCCCn2c(=O)c3c(ncn3C)n(C)c2=O)nc2ccc(C(F)(F)F)cc21,29.93,55.02
Cc1c(N(C)S(=O)(=O)c2cccc(C(=O)Nc3ccn(C)n3)c2)c(=O)n(-c2ccccc2)n1C,45.52,55.0
CC(C)Oc1ccc(C(=O)NC(c2nccn2C)C(C)(C)CO)nc1,80.12,54.93
Cn1c(=O)c2c(ncn2CC(O)Cn2c3ccccc3c3ccccc32)n(C)c1=O,49.39,54.93
CC(C)C(C#N)N1CCN(C(C)C(=O)Nc2ccc(Cl)cn2)CC1,88.21,54.93
Cc1c(CCC(=O)NCc2ccc(-n3cccn3)cc2)c(=O)[nH]c2c1c(=O)[nH]n2C,44.73,54.9
CCOC(=O)c1c(C)oc2c1c(C(c1ccccc1Cl)N1CCOCC1)c(O)c1ccccc12,36.18,54.86
CN(Cc1cc(=O)[nH]c(N)n1)C1CCN(c2c(C#N)cnc3c(Cl)cccc23)C1,67.77,54.8
CCn1nccc1[C@@H]1OCC[C@H]1CNc1nc2c(c(=O)[nH]c(=O)n2C)n1C,66.82,54.77
Cc1ccccc1Nc1nc(N)nc(Cn2cnc3c2c(=O)n(C)c(=O)n3C)n1,50.47,54.71
CC1CCc2c(sc3nc(Cn4c(C(F)(F)F)ccc(C(N)=O)c4=O)nc(N)c23)C1,65.35,54.7
Cn1c(=O)ccn(CC(=O)N(c2cc3c(cc2Cl)OCO3)C2CCCCC2)c1=O,75.89,54.69
Cc1cc(C(=O)Nc2cc3c(cc2Cl)OCCCO3)c(C)n1CC(F)(F)F,80.68,54.69
Cc1noc(C)c1C(C)(C)NC(=O)c1cc(F)c(Cl)c([N+](=O)[O-])c1Cl,47.66,54.68
CC(C)(C)c1ccc(CC2(C)CCCN2C(=O)c2ocnc2C(F)F)cc1,74.15,54.67
CC(C(=O)Nc1ccc(Cl)cn1)n1cc(C(C)(O)c2ccccc2Br)nn1,62.0,54.64
CC(C)CN(Cc1nc2cc(Cl)ccc2s1)c1c(N)n(CC(C)C)c(=O)[nH]c1=O,58.93,54.63
Cn1c(=O)c2c(ncn2CC(=O)N2CCC(C(=O)Nc3ccc4c(c3)OCO4)CC2)n(C)c1=O,57.23,54.62
CCOc1cc(N2CCOCC2)c(OCC)cc1NC(=O)C1(c2ccc(Cl)cc2)CC1,64.21,54.61
Cn1c(N2CCCCC2CNC(=O)c2ccccc2)c(C#N)c(=O)n(C)c1=O,84.22,54.56
CC(N=c1scc(-c2ccc(O)c(C(N)=O)c2)n1N=Cc1cc2c(cc1[N+](=O)[O-])OCCO2)c1ccc(Cl)cc1Cl,15.8,54.53
Cn1c(CN2CCCCC2c2nc3ccccc3s2)cc(=O)n(C)c1=O,71.04,54.52
Cc1c(NC(=O)c2cccc(NC(=O)Cn3cnc4c3c(=O)n(C)c(=O)n4C)c2)c(=O)n(-c2ccccc2)n1C,32.88,54.5
CCC(Cc1ccc(C)cc1)N(C)C(=O)c1cncc(C(=O)O)c1,88.49,54.49
CN(c1ncc(Cl)c(N(C)[C@@H]2CCC[C@H]2O)n1)[C@@H]1CCC[C@H]1O,87.09,54.48
