SMILES,QED,ChemAIrank
CC1(C)CC2CC(C)(CN2C(=O)Cn2c(=O)c(=O)n(Cc3ccccc3)c3ccc(Cl)cc32)C1,52.42,50.81
N#Cc1c(N2CCCCC2)nc(N)c2c(N)nc3c(c12)C(=O)CN3Cc1ccccc1,67.13,50.81
CC(NC(=O)CN1CCN(c2ccc(C(F)(F)F)cn2)CC1)C(c1ccccc1)N1CCOCC1,64.31,50.8
CCOc1cc(N2CCOCC2)c(OCC)cc1NC(=O)c1ccc2ccccc2n1,61.87,50.8
CC(NC(=O)Cn1ccc(=O)c2cccc(OC(F)(F)F)c21)c1ccc2ccccc2c1,47.88,50.78
CCn1/c(=C/C=C(C=O)/C=C/C2=[N+](CC)c3cccc4cccc2c34)c2cccc3cccc1c32.[Cl-],15.51,50.78
Cc1nn(C2CCS(=O)(=O)C2)c2nc(C3CC3)cc(C(=O)OC(C)C(=O)NCc3ccccc3)c12,49.95,50.77
CC(C)(C)OC(=O)N1C2CCC1CC(CNc1cnc(C#N)cn1)C2,90.71,50.77
CC(Sc1nnc(C(F)(F)F)n1C)C(=O)NC(C)C1CC2CCC1C2,80.17,50.76
CC1CCc2cc(F)cc3c(=O)c(C(=O)Nc4ccc(CS(N)(=O)=O)cc4)cn1c23,66.41,50.76
CCCN(Cc1nnc(-c2ccccc2Cl)o1)C(=O)[C@@H](Nc1ccc(C(F)(F)F)cc1Cl)C(C)C,32.54,50.74
CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1.O,43.04,50.72
CCCCn1c(Cn2ncc(Cl)c(Cl)c2=O)nc2c1c(=O)[nH]c(=O)n2Cc1ccccc1,44.24,50.7
CN(Cc1cccc(OC(F)(F)F)c1)C(=O)c1ccc(C#N)cn1,86.09,50.68
Cc1noc(C)c1S(=O)(=O)N[C@@H](C)C(=O)Nc1ncc(C(O)(C(F)(F)F)C(F)(F)F)s1,52.3,50.67
CC(C)(C)c1cc(C(=O)N2CCN(c3oc(C4CC4)nc3C#N)CC2)c(O)c(C(C)(C)C)c1,72.93,50.67
CC1CN(c2c(C#N)cnc3c(Cl)cccc23)CCC1N1CCN(C)CC1,79.63,50.61
Cn1c(=O)c2c(ncn2CC(=O)NCC(c2cccs2)N2CCCC2)n(C)c1=O,62.97,50.6
CC1Oc2c(cccc2C(=O)NCc2ccc(CN(C)C(C)C)cc2)NC1=O,80.63,50.57
CN(CC1CCCCO1)c1ncc(Br)c(N(C)CC2CCCCO2)n1,71.39,50.56
CC(C)(CNC(=O)C1CCCc2ccccc21)N1CCOCC1,92.68,50.56
Cc1cc(NC(=O)c2cnn(-c3ccc(C(F)(F)F)cn3)c2C(C)C)ccc1Oc1cccnc1,35.68,50.55
CCCCn1c(N)c(N(C)C(=O)c2cc3c(s2)-c2ccc(OC)cc2CC3)c(=O)[nH]c1=O,59.49,50.55
CC(C)c1ccc(C2CCCCN2C(=O)c2cnc(C(=O)O)cn2)cc1,90.66,50.53
Cc1nc(NC(=O)CCCn2cnc3c2c(=O)n(C)c(=O)n3C)sc1-c1nccn1C,47.58,50.52
Cc1ccc(Nc2nc(N)nc(Cn3cnc4c3c(=O)n(C)c(=O)n4C)n2)cc1,50.47,50.52
Cc1cc(-n2ccnc2)ccc1Cn1cnc(C#N)c1C#N,73.9,50.52
CC(C)c1ccc(C=Nn2c(-c3ccc(O)c(C(N)=O)c3)csc2=NC2CC2)cc1,58.79,50.49
CC(C)c1cc(N(C)CCn2cnc3c2c(=O)n(C)c(=O)n3C)n[nH]1,72.31,50.49
CC1=C(C#N)C(=O)N(C2CCS(=O)(=O)C2)C(=O)C1=Cc1ccc(-c2cc(Cl)ccc2Cl)o1,47.4,50.48
Cc1nc(C=Cc2cnc(C(C)(C)C)s2)[nH]c(=O)c1CCC(=O)O,86.65,50.48
CC(c1ccc(Cl)cc1)C(C)N(C)C(=O)c1cc(C(=O)O)ccn1,89.57,50.47
CC(C(=O)Nc1cccc(F)c1)N1CCCN(c2ccc(C(F)(F)F)cn2)CC1,77.99,50.46
COc1cc(C=Nn2c(-c3ccc(O)c(C(N)=O)c3)csc2=NC2CCCCC2)ccc1O,47.76,50.43
Cc1[nH]nc(C(=O)Nc2ccc(N3CCNC(=O)C3)nc2)c1[N+](=O)[O-],53.0,50.43
Cc1cc2nc(C)c(N3C[C@@H](C(N)=O)[C@H](c4cnn(C)c4C)C3)nc2cc1C,75.52,50.38
Cc1nn(C)c(C)c1C(C)C(=O)Nc1cc(C(=O)O)ccn1,89.83,50.38
CC(NC(=O)c1n[nH]c2c1CCC2)c1cc(F)ccc1N1CCC(O)CC1,77.02,50.33
Cc1cc(C(=O)CN2CCCN(c3ccc(C(F)(F)F)cn3)CC2)c(C)n1C1CCS(=O)(=O)C1,58.94,50.32
Cc1c(CCC(=O)NCc2ccnc(OCc3ccccc3)c2)c(=O)[nH]c2c1c(=O)[nH]n2C,38.18,50.31
Cc1ccc(NC(=O)COc2ccc(F)c3c2C(=O)CC3C)cc1S(=O)(=O)N1CCOCC1,68.8,50.3
CC(C)n1ccnc1C(=O)Nc1ccc(C(N)=O)c(N2CCCCC2)c1,86.23,50.29
Cc1nn(-c2cccc(C(F)(F)F)c2)c2c1C=Nc1cc(S(=O)(=O)N3CCOCC3)ccc1O2,43.04,50.29
