SMILES,QED,ChemAIrank
Cc1ccccc1C(c1noc(C(F)(F)c2ccccc2OCC(=O)N(C)C)n1)C(C)C,50.16,52.12
CC1(C)CN(c2ccc(C#N)c(N3CC(O)C(C)(C)C3)n2)CC1O,85.2,52.1
Cc1cc(C)n(-c2cncc(NC(c3ccc(Br)cc3)C(C)CO)n2)n1,63.91,52.09
Cc1ccc(OCCCC(=O)N(C)CC(=O)N(CC(C)C)c2c(N)n(CC(C)C)c(=O)[nH]c2=O)cc1,42.96,52.07
Cc1[nH]c(=O)c(C#N)c(C)c1CCC(=O)Nc1cccc(C2(C)NC(=O)NC2=O)c1,55.52,52.06
Cc1cc(NCc2ccc(N3CCC(O)CC3)c(F)c2)nc2c(C(C)C)cccc12,59.62,52.06
Cc1[nH]c(C(=O)NCC(C(C)C)N2CCOCC2)c(C)c1C(=O)OC(C)C,71.04,52.05
CCCCn1c(=O)[nH]c(=O)c2c1nc(CNc1ccc(-n3cccn3)c(F)c1)n2CC,45.18,52.04
CN1CCN(C2CCN(CCOc3ccccc3C#N)CC2)C1=O,82.64,52.02
N#Cc1cnc2c(F)c(F)c(F)cc2c1N1CCC(Cn2ccnn2)CC1,66.12,52.02
CCN(CC)c1ccc(NC(=O)CCCn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,60.78,52.01
Cc1cc(C)c(O)c(-c2n[nH]c3c2C(c2ccc(Cl)cc2)N(Cc2cccnc2)C3=O)c1,45.33,51.97
Cn1[nH]c(=O)c2c(C(=O)NC3CCCc4ccccc43)cc(C3CC3)nc21,75.17,51.97
COc1ccc2ncc(C#N)c(NCc3ccnc(N4CCNCC4)c3)c2c1,70.96,51.96
CC(=O)N1CCc2c(ncn(Cc3ncc(Br)cc3Cl)c2=O)C1,77.72,51.96
CCCCn1c(N)c(N(CCOC)C(=O)CN(C)CC(=O)Nc2ccc(Cl)c(Cl)c2)c(=O)[nH]c1=O,38.05,51.94
CCN(CC(=O)Nc1c(C)cccc1C)C(=O)c1ccnc(C(=O)O)c1,82.92,51.91
Cn1c(=O)c2c(ncn2CCCC(=O)N(Cc2ccncc2)Cc2cccnc2)n(C)c1=O,40.21,51.89
N#Cc1c(N2CCCCC2)nc(N)c2c(N)nc3c(c12)C(=O)CN3Cc1ccco1,67.48,51.88
Cn1c(=O)c2c(ncn2CC(=O)N2CCC(c3nc4ccccc4o3)CC2)n(C)c1=O,48.71,51.86
Cc1ccnc2nc(C(=O)N3CCCN(c4ncc(C(F)(F)F)cc4Cl)CC3)nn12,61.06,51.85
N#Cc1cc(C(=O)c2cc(Cl)ccc2O)cn(-c2cccc(C(F)(F)F)c2)c1=O,64.21,51.85
Cc1cc(NS(=O)(=O)c2cc([N+](=O)[O-])c(F)cc2C)c(C#N)cc1N(C)C,61.73,51.84
CCn1c(CN(C)C2CCCN(c3ccccc3)C2)nc2cc(C(=O)O)ccc21,69.03,51.84
CCCn1c(=O)c(CC(=O)c2ccccc2)nc2c1c(=O)[nH]c(=O)n2Cc1ccccc1,45.22,51.82
Cc1nn(C)c2ncc(NC(=O)C(c3ccc(Cl)cc3Cl)N3CCOCC3)cc12,67.97,51.82
