SMILES,QED,ChemAIrank
CC(=O)Nc1ccc(Cl)c(C(=O)Nc2ccc(Cl)c(F)c2N2CCOCC2)c1,76.99,69.74
CCc1cccc(C)c1N(C(=O)Cn1c(COc2ccc(C(C)(C)C)cc2)nc2ccccc21)C(C)COC,22.63,69.72
CCOc1cc(N2CCOCC2)c(OCC)cc1NS(=O)(=O)c1c(F)cc(F)c(Cl)c1F,43.78,69.63
Cn1ccc(C(=O)NC2CCc3c2ccc(Cl)c3Cl)cc1=O,91.55,69.52
CN1CCN(c2ccc(S(=O)(=O)N3CCCCC3)cc2NC(=O)Cc2c(F)cccc2Cl)CC1,64.53,69.42
Cc1cc2occ(CC(=O)N(C)CC(=O)N(CC(C)C)c3c(N)n(CC(C)C)c(=O)[nH]c3=O)c2cc1C(C)C,40.39,69.41
CCCn1c(O)nnc1SC(C(=O)Nc1cc(Cl)ccc1Cl)C(C)C,66.78,69.25
Cc1cc(C(=O)N(C)C2CCc3ccccc3C2)nc2nc(O)[nH]c(=O)c12,72.42,69.24
Cc1nc2sc3c(c2c(=O)n1CC(O)COc1ccccc1C(C)C)CCC3,68.56,69.22
Cc1nc(-c2ccc(NCC(CC(C)C)C(=O)O)nc2)[nH]c(=O)c1C,71.24,69.07
N#Cc1c(N2CCCC(CO)C2)nc(N)c2c(N)nc3c(c12)CC(=O)N3c1cccc(F)c1,55.41,68.94
Cc1nc(C#N)c(N2CCC(C(=O)Nc3ccc(OC(F)F)c(Cl)c3)CC2)o1,80.16,68.7
CC(C)[C@H](C(=O)Nc1ccc(Oc2cccc(C(N)=O)c2)nc1)N(C)C.O=C(O)C(F)(F)F,56.58,68.65
Cc1c(NC(=O)c2scnc2Br)c(=O)n(C2CCCCC2)n1C,85.95,68.65
CCCCCCc1cc2cc(-c3nnc(-c4cccc(OC5CCCC5)c4)o3)c(=O)oc2cc1O,21.38,68.63
Cn1cnc2c1c(=O)n(CC(=O)NCc1ccnc(-n3ccnc3)c1)c(=O)n2C,47.92,68.43
CC1CN(c2cnn(-c3ccc(C(F)(F)F)cn3)c(=O)c2Cl)C(C)C(C)O1,77.1,68.37
CC1CN(c2ccc(NC(=O)C3(N)CCc4c3ccc(F)c4Br)cn2)CC(C)O1,73.03,68.26
CCN1CCC2CCC(C1)N2C(=O)c1ccc(OC2CCC2)cc1Cl,81.2,68.18
Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c1nn(-c2ccccc2)c2c1CCc1occc1-2,24.12,68.12
CN(C)CCCN(C(=O)c1cnn(C(C)(C)C)c1)C(c1ccccc1)c1ccccc1,52.65,68.1
CCCCCCCCn1c(NCCc2ccccc2)nc2c1c(=O)[nH]c(=O)n2C,48.55,67.96
Cc1c(NC(=O)c2ccc(C#N)n2C)c(=O)n(C2CCCCC2)n1C,93.04,67.94
Cn1c(=O)c2c(ncn2CC(=O)N2CCN(CC(=O)N3CCCCCC3)CC2)n(C)c1=O,59.66,67.89
