SMILES,QED,ChemAIrank
CN(NC(=O)c1cc2c(cc1Cl)N1CCCCCC1=NS2(=O)=O)c1ccccc1,74.91,49.67
Cc1ccc2c(Cl)cc(Cl)c(OCC(=O)Nc3cccc(S(=O)(=O)N4CCOCC4)c3)c2n1,54.07,49.66
Cc1cc(OCC(O)Cn2cnc3sc(C)c(C)c3c2=O)c(C(C)C)cc1Cl,63.25,49.66
CCCn1c(-c2ccc(-c3cccc(Cl)c3Cl)o2)nc2c1c(=O)[nH]c(=O)n2Cc1ccccc1,33.35,49.66
COCCn1c(N)c(N2CCCCC2)c(=O)n(CC(=O)Nc2ccc(N3CCCC3)cc2C)c1=O,58.69,49.62
C=CCN(c1ccccc1Cl)S(=O)(=O)c1cc(C(=O)N2C[C@H](OC)C[C@H]2CNC(=O)C2(CC=C)CCN(C(=O)OC(C)(C)C)C2)ccc1Cl,26.84,49.56
O=C(Nc1ccc2c(c1)CCN2C(=O)c1ccoc1)C1CC2C=CC1C2,86.17,49.56
C=CCOc1ccc(C(F)(F)F)cc1C(=O)NCC1Cc2ccccc2CN1C(=O)C1(CC=C)CCN(C(=O)OC(C)(C)C)C1,33.69,49.56
CCN(CC)CCOc1ccccc1CNC(=O)c1ccc(OCc2c(C)noc2C)c(OC)c1,38.38,49.55
CCCn1ncc(C(=O)N2CC3CCC2CN3C(=O)C2CC3CCC2CC3)c1C,78.23,49.55
COC(=O)c1cc(C#N)c(=O)n(CC(O)CN2CCN(c3ccccc3)CC2)c1,71.74,49.54
CC(C)c1ccc(-c2noc(COC(=O)CCCn3cnc4c3c(=O)n(C)c(=O)n4C)n2)cc1,36.15,49.53
CCN1CCN(c2ccc(S(=O)(=O)N(CC)CC)cc2NC(=O)Cn2nc(C)c([N+](=O)[O-])c2C)CC1,37.16,49.51
Cc1cc(C(=O)N2CCCCC2c2ccc(C(C)C)cc2)ncc1C(N)=O,89.02,49.48
Cc1cn2c3c(=O)n(CCCO)c(=O)n(C)c3nc2n1-c1ccc(Oc2ccccc2)cc1,43.35,49.48
O=C(Nc1ccc(Cl)cc1C(=O)c1ccccc1F)c1cc(S(=O)(=O)N2CCOCC2)c(Cl)cc1Cl,40.6,49.48
C=CCN(c1ccc(OC)cc1)S(=O)(=O)c1ccc(Cl)c(C(=O)N(CCNC(=O)C2(CC=C)CN(C(=O)OC(C)(C)C)C2)Cc2cccc(Cl)c2)c1,16.59,49.47
CC(C)OC(=O)Nc1ccc(OC(=O)c2cccc(-c3noc(CC(C)(C)C)n3)c2)c(Cl)c1,33.9,49.45
CCOc1ccc2oc(C(=O)N(CCOC)c3c(N)n(CC(C)C)c(=O)[nH]c3=O)c(C)c2c1,50.33,49.41
CS(=O)(=O)c1ccc2nc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Cl)c(Cl)c3)C4=O)sc2c1,35.83,49.4
CCOC(=O)c1ccc2c(c1)nc(C(C)O)n2CC(=O)Nc1ccc(N(CC)C(C)C)cc1,47.38,49.39
CC1CC(C)(C)CC2(C1)NC(=O)N(CC(=O)N(C)C(C)c1ccc(-n3cncn3)cc1)C2=O,70.33,49.38
Cc1cnn(CC2CCCN2C(=O)c2ccc(C(N)=O)cn2)c1,91.04,49.38
Cc1[nH]nc(C(=O)N(C)C(c2cccnc2)C(C)C)c1[N+](=O)[O-],67.34,49.37
Cn1c(N2CCCC2c2ccc3c(c2)OCCCO3)c(C#N)c(=O)n(C)c1=O,78.12,49.31
CC1(C)CC(=O)C(C(C2=C(O)CC(C)(C)CC2=O)c2nc(-c3ccccc3)n3ccccc23)C(=O)C1,46.87,49.3
CN(C(=O)Nc1cc2c(cc1Br)CCC2)C1CCC(CO)CC1,83.31,49.29
Cc1cc(C)cc(OCC(=O)N(C)CC(=O)N(CC(C)C)c2c(N)n(CC(C)C)c(=O)[nH]c2=O)c1,52.65,49.28
Cc1cnc(C(=O)NCc2ccc(CN3C(=O)NC(C)(C)C3=O)cc2)cn1,78.04,49.28
C=CCN=c1scc(-c2ccc(O)c(C(N)=O)c2)n1N=Cc1cccc(OC)c1OC,41.59,49.27
COc1cc(C=NNc2c(Cl)c(Cl)nc(C(=O)O)c2Cl)cc2c1OCCO2,41.86,49.27
C[C@@H]1Cc2c(nn(C)c2C(=O)N2CCC(c3ccc(C#N)cn3)CC2)[C@H](C)O1,80.1,49.23
Cn1[nH]c(=O)c2c(C(=O)Nc3ccc(Cl)c(CN4CCOCC4)c3)cc(C3CC3)nc21,63.48,49.21
Cc1ccc2c(Cl)cc(Cl)c(OCC(=O)N(C3CCCCC3)C3CCCCC3)c2n1,50.88,49.21
Cn1c(=O)c2c(ncn2Cc2nc3ccccc3n2C(F)F)n(C)c1=O,55.04,49.19
COc1ccc(-c2nc(C#N)c(NCC(c3ccc(OC)cc3)N(C)C)o2)cc1,62.14,49.16
Cn1ncnc1-c1cccc(Nc2cccc(N3CC[C@H](Oc4cnccc4C#N)C3)n2)c1,48.74,49.16
CCCCn1c(CN2CC(C(N)=O)Oc3ccccc32)nc2c1c(=O)[nH]c(=O)n2Cc1ccccc1,39.04,49.16
Cc1ccccc1C(CN(C)C)NC(=O)c1cccc2c1CCOC2,91.08,49.14
Cn1ccc(C(=O)Nc2c(F)cc(Br)cc2F)cc1=O,91.16,49.13
Cc1ccc(OCc2nc3c4c5c(sc4ncn3n2)C(C)(C)NC(C)(C)C5)cc1,54.58,49.09
Cc1cc(C)c(CNC(=O)C(c2cc(Cl)cc(Cl)c2)N2CCOCC2)cn1,82.01,49.06
CN(C)C(C(=O)N1CCN(c2ccc(C#N)cn2)CC1)c1cncn1C,80.23,49.05
COc1cc2ncnc(Oc3cc(C(=O)Nc4ccc(C(=O)N5CCN(C)CC5)c(C(F)(F)F)c4)ccc3C)c2cc1OC,29.68,49.05
C=CCN(c1ccc(Cl)cc1)S(=O)(=O)c1ccc(Cl)c(C(=O)N2CCC[C@H](NC(=O)C3(CC=C)CCCN(C(=O)OC(C)(C)C)C3)C2)c1,27.39,49.04
N#Cc1cn(CCNC(=O)C(F)(F)c2ccccc2Br)c(=O)[nH]c1=O,76.51,49.04
CCCn1c(=O)[nH]c(=O)c2c(C(=O)Nc3cc(OC)c(OC)cc3C)cc(C(C)C)nc21,58.3,49.04
Cc1nc2nc(C(F)(F)F)nn2c(C)c1CCC(=O)Nc1ccc2[nH]nc(C(=O)O)c2c1,42.76,49.03
Cn1c(N2CC=C(c3c[nH]c4ncccc34)CC2)nc2c1c(=O)[nH]c(=O)n2C,54.49,49.01
COc1ccc(C(CNC(=O)c2ncc(Cl)c(Cl)c2Cl)N2CCOCC2)cc1,73.3,49.0
O=C(NNc1ccc(-n2ccnc2)nn1)Nc1ccc(Nc2cccc(OC(F)(F)F)c2)cn1,29.92,48.99
Cc1nnc(N2CCN(c3cc(C(C)(C)C)nc(C(C)(C)C)n3)CC2)c(C(N)=O)c1C,80.66,48.98
Cn1c(=O)c2c(ncn2CC(=O)N2CCC(n3c(=O)[nH]c4ccccc43)CC2)n(C)c1=O,48.16,48.98
CC(C(=O)Nc1cccc(C(F)(F)F)c1)n1cnc2c1c(=O)n(C)c(=O)n2C,73.03,48.98
CC(C)Oc1ccccc1CC(=O)C(C#N)C(=O)N1CCCCC1,75.29,48.97
FC(F)(F)c1ccc(C(=C=NC(c2ccccc2)(c2ccccc2)c2ccccc2)c2ccc(C(F)(F)F)cc2)cc1,10.93,48.97
COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)NCc1ncc[nH]1)C(=O)OC2,46.46,48.96
CCc1cccc(C)c1N(C(=O)Cn1c(CN2CCCC2)nc2ccccc21)C(C)COC,48.11,48.96
CC(C)n1nccc1C(=O)Nc1cc(Cl)c(N)cn1,90.29,48.95
