SMILES,QED,ChemAIrank
C=CCOc1cn(-c2ccccc2)nc1C(=O)N[C@H]1CN(C(=O)C2(CC=C)CN(C(=O)OC(C)(C)C)CCO2)CC[C@H]1c1ccc(OC)cc1,27.54,53.48
CC1Oc2c(cccc2C(=O)NCc2ccc(N3CCCC(C(N)=O)C3)cc2)NC1=O,68.24,53.47
CCc1ccc(N2CCCCn3c2nc2c3c(=O)n(CCCc3ccccc3)c(=O)n2C)cc1,43.87,53.44
CC1(C)CN(c2c(C#N)cnc3c(Cl)cccc23)CCN1CCO,92.7,53.43
CCCCCn1c(CCC(=O)Nc2sc(CC)cc2C#N)nc2c1c(=O)[nH]c(=O)n2CCCC,37.66,53.42
CC(Cc1ccc(O)cc1)N(C)C(=O)c1ccnc2c(C(N)=O)cnn12,71.61,53.42
CN(c1cnn(-c2ccc(C(F)(F)F)cn2)c(=O)c1Cl)C1CCc2ccccc21,62.9,53.42
CC(C)Cn1c(-c2ccc(C(F)(F)F)cc2)nc2c1c(=O)[nH]c(=O)n2CC(C)C,69.63,53.4
COc1cc2nc(N3CCC(c4noc5cc(F)ccc45)CC3)nc(N)c2cc1OC,52.77,53.4
CCN=c1scc(-c2ccc(O)c(C(N)=O)c2)n1N=Cc1ccc(C)o1,67.44,53.38
CC1CN(c2nc(N)c3c(N)nc4c(c3c2C#N)CC(=O)N4C2CCCC2)CC(C)O1,75.28,53.38
Cc1c(C)n2c3c(=O)n(CCCc4ccccc4)c(=O)n(C)c3nc2n1CCCn1ccnc1,35.72,53.37
Cn1c(N2CCC(c3cn[nH]c3)CC2)c(C#N)c(=O)n(C)c1=O,84.49,53.36
N#Cc1cnc2c(F)c(F)c(F)cc2c1NC1CC2CCC1O2,86.34,53.36
CC1CCc2[nH]c3ccc(C(=O)Nc4ccc(C(N)=O)cc4)cc3c2C1,67.52,53.35
Cc1c(C)n2c3c(=O)n(CCC(C)C)c(=O)n(C)c3nc2n1-c1ccc(C(N)=O)cc1,52.96,53.34
O=C(Nc1cccc2c1CN(CC(F)(F)F)C2)c1ccc(C(F)(F)F)nc1,79.96,53.34
Cc1c(NS(=O)(=O)c2ccc(NC(C)C(C)(C)O)c([N+](=O)[O-])c2)c(=O)n(-c2ccccc2)n1C,32.53,53.34
CCCCN1C(=O)c2ccc(C(=O)Nc3ccc(S(=O)(=O)NC4=NCCCCC4)cc3)cc2C1=O,56.7,53.32
COc1cc2ncnc(Oc3cc(C(=O)Nc4ccc(CN5CCN(C)CC5)cc4F)ccc3C)c2cc1OC,33.51,53.3
CC(C(=O)Nc1ccc(C#N)c(Cl)c1)N1CCC2(C)C(C1)C2(F)F,90.42,53.3
CC(C(=O)Nc1ccc(C(N)=O)cc1)N1CCN(c2ncc(C(F)(F)F)cc2Cl)CC1,72.29,53.22
Cc1c(F)cc(Cl)c2c1CCCN2C(=O)c1ccc(=O)n(C)n1,80.42,53.2
Cc1cc2occ(CC(=O)N(CCC(C)C)c3c(N)n(Cc4ccccc4)c(=O)[nH]c3=O)c2cc1C,38.67,53.18
CCCCn1c(=O)[nH]c(=O)c2c1nc(CCC(=O)NC1CCCC(C(F)(F)F)C1)n2CC(C)C,56.75,53.17
CC(C)c1ccc(-c2nn3c(nc2=O)-c2ccccc2NC3C2CCC(C)(C(=O)O)C2(C)C)cc1,51.69,53.13
O=C(c1ccc(Oc2c(F)c(F)c(-c3ccc(C(=O)N4CCCCCC4)cc3)c(F)c2F)cc1)N1CCCCCC1,23.38,53.13
Cc1[nH]c(=O)c(C#N)c(C)c1CCC(=O)Nc1ccccc1OC(F)(F)F,83.3,53.12
NC(=O)c1ccc(C(F)(F)F)n(CC(=O)Nc2cc(Cl)ccc2-n2cncn2)c1=O,62.59,53.12
Cc1cccc(Nc2ccccc2C(=O)OCC(=O)N2CC(=O)Nc3ccccc32)c1C,59.41,53.11
CC(C)N1C2CCC1CN(c1c(C#N)c(=O)n(C)c(=O)n1C)CC2,78.45,53.1
Cn1cncc1CN1CCC2(C1)c1ncn(C)c1CCN2C(=O)CCC(C)(C)C,79.39,53.09
CN1CCN(C)C(CNc2cc(C#N)c3cc([N+](=O)[O-])ccc3n2)C1,66.75,53.09
CCOc1ccc(C=C2N=C(c3ccccc3C)N(CCCCCC(=O)O)C2=O)cc1OCC,35.01,53.06
Cc1ccc(C)c(OCC(O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)c1C,71.53,53.05
CCCn1c(CCC(=O)N2CCc3ccccc32)nc2cc(S(=O)(=O)N3CCCC3)ccc21,53.15,53.05
Cn1c(=O)c2c(ncn2CCC(=O)NC2CCc3ccccc32)n(C)c1=O,73.22,53.03
CC(C(=O)Nc1ccc(Cl)cn1)N(C)Cc1c(F)cccc1Cl,88.13,53.02
Cc1nn(Cc2ccccc2Cl)c2c1C=Nc1cc(S(=O)(=O)N3CCCCC3)ccc1O2,42.37,53.0
COc1ccc2[nH]cc(CC(=O)Nc3cccc(OCC(F)F)n3)c2c1,67.63,53.0
CCc1cc(-c2n[nH]c(C)c2-c2nc3ccccc3n2C)c(O)c(CN2CCN(C)CC2)c1O,42.09,52.98
CC(=O)N1CCc2cc(C(=O)N(CCN3CCCC3)Cc3ccc(Cl)c(Cl)c3)ccc21,63.11,52.95
CN(C)CC(=O)Nc1ccc(NC(=O)c2ccc(NC(=O)NC(C)(C)C)cc2O)cc1,48.49,52.93
CC(C(=O)Nc1ccc(O)c(C(=O)O)c1)N1CCc2ccccc2C1,74.41,52.93
CC1CCCCN1Cc1nc2c(c(=O)n(C)c(=O)n2C)n1CC=Cc1ccccc1,65.2,52.92
Cc1nc(N2C3CCC2CC(O)(Cc2ccc(F)cc2F)C3)ccc1C#N,89.73,52.92
CCc1nnc(NCc2cccc(-c3nnc[nH]3)c2)c(C#N)c1CC,71.87,52.91
