SMILES	LogP	Donors	Acceptors	Rotable Bonds	Molecule Weight	Surface Area	CDK2 inhibitor	CDK2 pki	Allosteric or not	Type I or II	Type I1/2 or II	Type I or I1/2	final Decision
N#Cc1c(N2CCCCC2)nc(N)c2c(N)nc3c(c12)C(=O)CN3Cc1ccccc1	2.859	2	8	3	413.485	179.636	No	5.749	No	I	I1/2	I	Type I	
CC(NC(=O)CN1CCN(c2ccc(C(F)(F)F)cn2)CC1)C(c1ccccc1)N1CCOCC1	2.801	1	6	7	491.558	203.407	Yes	5.931	No	I	II	I	Type I	
CCOc1cc(N2CCOCC2)c(OCC)cc1NC(=O)c1ccc2ccccc2n1	4.121	1	6	7	421.497	181.480	No	5.385	No	I	II	I	Type I	
CC(NC(=O)Cn1ccc(=O)c2cccc(OC(F)(F)F)c21)c1ccc2ccccc2c1	4.931	1	4	5	440.421	180.589	No	5.836	No	I	II	I	Type I	
CCn1/c(=C/C=C(C=O)/C=C/C2=[N+](CC)c3cccc4cccc2c34)c2cccc3cccc1c32.[Cl-]	3.319	0	2	6	491.034	216.302	No	5.802	No	I	II	I	Type I	
Cc1nn(C2CCS(=O)(=O)C2)c2nc(C3CC3)cc(C(=O)OC(C)C(=O)NCc3ccccc3)c12	2.838	1	8	7	496.589	203.341	Yes	5.662	No	I	I1/2	I	Type I	
CC(C)(C)OC(=O)N1C2CCC1CC(CNc1cnc(C#N)cn1)C2	2.938	1	6	3	343.431	147.946	Yes	5.677	No	I	I1/2	I	Type I	
CC(Sc1nnc(C(F)(F)F)n1C)C(=O)NC(C)C1CC2CCC1C2	3.255	1	5	5	376.448	148.687	Yes	5.855	No	I	I1/2	I	Type I	
CC1CCc2cc(F)cc3c(=O)c(C(=O)Nc4ccc(CS(N)(=O)=O)cc4)cn1c23	2.689	2	5	4	429.473	171.923	Yes	5.440	No	I	I1/2	I	Type I	
CCCN(Cc1nnc(-c2ccccc2Cl)o1)C(=O)[C@@H](Nc1ccc(C(F)(F)F)cc1Cl)C(C)C	6.938	1	5	9	529.390	210.971	No	5.366	No	I	I1/2	I	Type I	
