SMILES	LogP	Donors	Acceptors	Rotable Bonds	Molecule Weight	Surface Area	CDK2 inhibitor	CDK2 pki	Allosteric or not	Type I or II	Type I1/2 or II	Type I or I1/2	final Decision
Cn1[nH]c(=O)c2c(C(=O)Nc3ccc(Cl)c(CN4CCOCC4)c3)cc(C3CC3)nc21	2.877	2	6	5	441.919	183.684	Yes	5.834	No	I	I1/2	I	Type I	
Cc1ccc2c(Cl)cc(Cl)c(OCC(=O)N(C3CCCCC3)C3CCCCC3)c2n1	6.723	0	3	5	449.422	188.437	No	5.226	No	I	I1/2	I	Type I	
Cn1c(=O)c2c(ncn2Cc2nc3ccccc3n2C(F)F)n(C)c1=O	1.227	0	8	3	360.324	144.103	No	5.594	No	I	II	I	Type I	
COc1ccc(-c2nc(C#N)c(NCC(c3ccc(OC)cc3)N(C)C)o2)cc1	3.945	1	7	8	392.459	170.044	Yes	5.668	No	I	I1/2	I	Type I	
Cn1ncnc1-c1cccc(Nc2cccc(N3CC[C@H](Oc4cnccc4C#N)C3)n2)c1	3.545	1	9	6	438.495	190.869	Yes	6.103	No	I	I1/2	I	Type I	
CCCCn1c(CN2CC(C(N)=O)Oc3ccccc32)nc2c1c(=O)[nH]c(=O)n2Cc1ccccc1	1.988	2	8	8	488.548	206.492	Yes	5.624	No	I	II	I	Type I	
Cc1ccccc1C(CN(C)C)NC(=O)c1cccc2c1CCOC2	3.100	1	3	5	338.451	149.352	No	5.589	No	I	II	I	Type I	
Cn1ccc(C(=O)Nc2c(F)cc(Br)cc2F)cc1=O	2.678	1	3	2	343.127	120.720	Yes	5.313	No	I	II	I	Type I	
Cc1ccc(OCc2nc3c4c5c(sc4ncn3n2)C(C)(C)NC(C)(C)C5)cc1	4.386	1	7	3	407.543	173.498	Yes	5.751	No	I	I1/2	I	Type I	
Cc1cc(C)c(CNC(=O)C(c2cc(Cl)cc(Cl)c2)N2CCOCC2)cn1	3.695	1	4	5	408.329	169.178	Yes	5.808	No	I	II	I	Type I	
CN(C)C(C(=O)N1CCN(c2ccc(C#N)cn2)CC1)c1cncn1C	0.638	0	7	4	353.430	152.824	No	5.619	No	I	I1/2	I	Type I	
COc1cc2ncnc(Oc3cc(C(=O)Nc4ccc(C(=O)N5CCN(C)CC5)c(C(F)(F)F)c4)ccc3C)c2cc1OC	5.406	1	8	7	609.605	250.905	No	5.668	No	II	II	I	Type II	
C=CCN(c1ccc(Cl)cc1)S(=O)(=O)c1ccc(Cl)c(C(=O)N2CCC[C@H](NC(=O)C3(CC=C)CCCN(C(=O)OC(C)(C)C)C3)C2)c1	6.689	1	6	10	719.732	293.286	No	5.941	No	I	II	I	Type I	
N#Cc1cn(CCNC(=O)C(F)(F)c2ccccc2Br)c(=O)[nH]c1=O	1.079	2	5	5	413.178	147.588	Yes	5.467	No	I	II	I	Type I	
CCCn1c(=O)[nH]c(=O)c2c(C(=O)Nc3cc(OC)c(OC)cc3C)cc(C(C)C)nc21	3.196	2	7	7	440.500	184.950	No	5.796	No	I	I1/2	I	Type I	
Cc1nc2nc(C(F)(F)F)nn2c(C)c1CCC(=O)Nc1ccc2[nH]nc(C(=O)O)c2c1	2.906	3	7	5	447.377	177.031	Yes	5.741	No	I	II	I	Type I	
Cn1c(N2CC=C(c3c[nH]c4ncccc34)CC2)nc2c1c(=O)[nH]c(=O)n2C	1.130	2	7	2	377.408	158.511	Yes	5.779	No	I	I1/2	I	Type I	
COc1ccc(C(CNC(=O)c2ncc(Cl)c(Cl)c2Cl)N2CCOCC2)cc1	3.854	1	5	6	444.746	178.230	Yes	5.715	No	I	II	I	Type I	
O=C(NNc1ccc(-n2ccnc2)nn1)Nc1ccc(Nc2cccc(OC(F)(F)F)c2)cn1	3.848	4	9	7	471.403	189.540	Yes	6.232	No	I	II	I	Type I	
Cc1nnc(N2CCN(c3cc(C(C)(C)C)nc(C(C)(C)C)n3)CC2)c(C(N)=O)c1C	2.904	1	7	3	425.581	184.825	Yes	6.166	No	I	I1/2	I	Type I	
Cn1c(=O)c2c(ncn2CC(=O)N2CCC(n3c(=O)[nH]c4ccccc43)CC2)n(C)c1=O	-0.060	1	9	3	437.460	180.673	Yes	5.555	No	I	I1/2	I	Type I	
CC(C(=O)Nc1cccc(C(F)(F)F)c1)n1cnc2c1c(=O)n(C)c(=O)n2C	1.652	1	7	3	395.341	155.389	Yes	5.846	No	I	II	I	Type I	
CC(C)Oc1ccccc1CC(=O)C(C#N)C(=O)N1CCCCC1	2.738	0	4	6	328.412	142.759	No	5.594	No	I	I1/2	I	Type I	
FC(F)(F)c1ccc(C(=C=NC(c2ccccc2)(c2ccccc2)c2ccccc2)c2ccc(C(F)(F)F)cc2)cc1	9.818	0	1	6	571.564	238.683	No	5.472	No	I	II	I	Type I	
COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)NCc1ncc[nH]1)C(=O)OC2	2.688	3	6	8	399.447	168.495	Yes	5.558	No	I	I1/2	I	Type I	
CCc1cccc(C)c1N(C(=O)Cn1c(CN2CCCC2)nc2ccccc21)C(C)COC	4.571	0	5	9	448.611	196.707	No	5.469	No	I	I1/2	I	Type I	
CC(C)n1nccc1C(=O)Nc1cc(Cl)c(N)cn1	2.347	2	5	3	279.731	115.130	Yes	5.602	No	I	I1/2	I	Type I	
CN(C)C(CNc1ccc2nnc(C(F)(F)F)n2n1)c1c(F)cccc1Cl	3.650	1	6	5	402.783	156.302	Yes	5.632	No	I	II	I	Type I	
COc1ccc(C)cc1-n1ccc(C(=O)Nc2cccc3c2N(C(C)=O)CC3)n1	3.351	1	5	4	390.443	168.448	No	5.863	No	I	II	I	Type I	
N=c1c(C(=O)NCc2ccccc2)cc2c(=O)n3ccccc3nc2n1CCCN1CCOCC1	1.781	2	8	7	472.549	201.658	Yes	6.145	No	I	II	I	Type I	
COc1ccc(CCN(C)C2CCN(Cc3ncc(C)c(OC)c3C)CC2)cc1	3.855	0	5	8	397.563	175.193	No	5.656	No	I	I1/2	I	Type I	
CN1CC2CN(c3c(C#N)cnc4c(Cl)cccc34)CCN2C1=O	2.316	0	4	1	341.802	144.377	No	5.420	No	I	II	I	Type I	
CC1CC(=O)Nc2ccccc2N1C(=O)CN(C)Cc1cc(=O)n(C)c(=O)n1C	0.280	1	7	4	399.451	167.707	Yes	7.080	No	I	II	I	Type I	
Cc1c(NC(=O)C(C)N2CC(C)CC(C)C2)c(=O)n(-c2ccccc2)n1C	2.789	1	5	4	370.497	160.312	Yes	6.057	No	I	I1/2	I	Type I	
CC1=Nc2nc3c(c4c(C#N)c(N5CCCC5)nc(c24)N1)CC(=O)N3c1ccc(C)c(C)c1	4.124	1	6	2	437.507	190.431	Yes	5.893	No	I	I1/2	I	Type I	
Cc1c(C#N)c(NC(=O)COC(=O)C2CCCN2C(=O)NC2CCCCC2)n(C2CCCC2)c1C	4.080	2	6	6	483.613	206.712	Yes	5.635	No	I	I1/2	I	Type I	
CCCOc1ccccc1NC(=O)CN1c2ccccc2CCC1C	4.255	1	3	6	338.451	149.352	No	5.883	No	I	I1/2	I	Type I	
Cc1c(CCC(=O)NCC2Cc3ccccc3O2)c(=O)[nH]c2c1c(=O)[nH]n2C	0.916	3	5	5	382.420	160.059	Yes	6.348	No	I	I1/2	I	Type I	
CCCn1cc(C(=O)c2cc(F)ccc2OCC(=O)Nc2ccc(Cl)cc2F)cc(C#N)c1=O	4.310	1	6	8	485.874	197.705	No	5.411	No	I	II	I	Type I	
CC(C)CCn1c(-c2ccccc2OC(F)F)nc2c1c(=O)[nH]c(=O)n2Cc1ccccc1	4.249	1	6	8	454.477	187.838	Yes	5.539	No	I	II	I	Type I	
CCN(CC(=O)Nc1c(C)cccc1C)C(=O)c1cncc(C(=O)O)c1	2.497	2	4	6	355.394	151.216	Yes	5.753	No	I	II	I	Type I	
CN(c1cnc(C#N)cn1)C1CCN(c2ccccc2Cl)C1=O	2.243	0	5	3	327.775	138.489	No	5.959	No	I	II	I	Type I	
Cn1cnc2c1c(=O)n(CC(=O)N1CCCC1c1ccc3c(c1)OCCCO3)c(=O)n2C	0.959	0	9	3	439.472	183.142	No	5.645	No	I	II	I	Type I	
CC1CCN(C(=O)OC(C)(C)C)C(C(=O)NCc2ccc(N3CCCC(C(N)=O)C3)cc2)C1	3.040	2	5	5	458.603	196.361	Yes	6.053	No	I	I1/2	I	Type I	
CCOC(=O)c1ccc2c(c1)N(CCCS(=O)(=O)[O-])C(=CC=Cc1n(CC)c3ccc(C(=O)OCC)cc3[n+]1CCCS(=O)(=O)[O-])N2CC.[Na+]	0.378	0	13	16	740.833	314.673	No	5.222	No	I	II	I1/2	Type I	
CCCCn1c(SCC(=O)Nc2nc(-c3ccc(Cl)c(Cl)c3)cs2)nnc1C(CC)N(C)C	6.252	1	8	11	527.547	212.448	Yes	6.031	No	I	I1/2	I	Type I	
Cn1c(=O)c2ccc(C(=O)NCC(c3c(F)cccc3Cl)N3CCCC3)nc2n(C)c1=O	1.992	1	7	5	459.909	187.791	Yes	6.081	No	I	II	I	Type I	
Cc1c(C#N)c(NC(=O)CC(n2cccn2)C(F)(F)F)nn1C	1.929	1	6	4	326.282	128.858	Yes	5.934	No	I	I1/2	I	Type I	
Cn1[nH]c(=O)c2c(C(=O)NNc3c(Cl)cc(Cl)cc3Cl)cc(C3CC3)nc21	3.856	3	5	4	426.691	168.119	Yes	6.082	No	I	I1/2	I	Type I	
CC(C)(C)n1cc(C(=O)NCC(c2ccccc2Cl)N2CCOCC2)nn1	2.490	1	6	5	391.903	164.180	Yes	5.771	No	I	II	I	Type I	
CN(Cc1cc(=O)n(C)c(=O)n1C)C(c1ccccc1)c1ccccc1	2.305	0	5	5	349.434	152.312	No	5.662	No	I	I1/2	I	Type I	
CC1CCc2[nH]c3c(C(=O)N(C)Cc4nc5ccsc5c(=O)[nH]4)cccc3c2C1	3.863	2	4	3	406.511	171.137	Yes	5.530	No	I	I1/2	I	Type I	
Cc1nc2c(c(C)c1CCC(=O)Nc1cccc(CCC(=O)O)c1)c(=O)[nH]n2C	2.467	3	5	7	396.447	167.110	Yes	5.663	No	I	II	I	Type I	
Cc1nc(C(C)C)sc1C(=O)NCC(C(C)C)N1CCOCC1	2.662	1	5	6	339.505	142.980	Yes	5.833	No	I	I1/2	I	Type I	
CC(C)Cc1nc(C#N)c(NCC(c2ccccc2Cl)N2CCOCC2)o1	3.884	1	6	7	388.899	164.630	Yes	5.934	No	I	I1/2	I	Type I	
COc1ccccc1CNC(=O)CCCn1cnc2c1c(=O)n(C)c(=O)n2C	0.539	1	8	7	385.424	160.736	Yes	5.868	No	I	II	I	Type I	
COc1ccc(-c2nnn(CC(=O)Nc3c(C#N)c(C)c(C)n3CC3CCCO3)n2)cc1OC	2.465	1	10	8	465.514	196.766	Yes	5.768	No	I	I1/2	I	Type I	
Cc1ccc(CN(C(=O)c2cc(C(=O)O)ccn2)C2CC2)cc1C	3.201	1	3	5	324.380	140.499	No	5.433	No	I	II	I	Type I	
CN(C)S(=O)(=O)c1cccc(NC(=O)Cn2c(Cl)nc3c2c(=O)n(C)c(=O)n3C)c1	-0.024	1	9	5	454.896	175.716	Yes	5.625	No	I	I1/2	I	Type I	
CC(NC(C)c1ccc(F)cc1)C(=O)c1c(N)n(C)c(=O)n(C)c1=O	0.727	2	7	5	348.378	143.442	Yes	6.333	No	I	I1/2	I	Type I	
CN(C[C@@H]1CCCN(C)[C@H]1c1cnn(C)c1)C(=O)c1cc2[nH]cnc2cc1F	2.591	1	5	4	384.459	162.697	Yes	5.856	No	I	I1/2	I	Type I	
Cn1oc(C(=O)NC[C@H]2C[C@H]3CC[C@@H](C2)N3c2ccnc(C(C)(C)C)n2)cc1=O	2.243	1	7	4	399.495	169.833	Yes	6.070	No	I	I1/2	I	Type I	
Cc1nc(C(=O)N2CCCCC2Cc2ccccc2)c(=O)[nH]c1C	2.624	1	3	3	325.412	141.289	No	5.423	No	I	I1/2	I	Type I	
CC(Nc1ccc(C(F)(F)F)cn1)c1cncc(F)c1	3.808	1	3	3	285.244	112.235	Yes	5.265	No	I	I1/2	I	Type I	
CC(C)c1occc1C(=O)N1C[C@@H]2C[C@H]1CN2C(=O)C1Cc2cccnc2C1	2.638	0	4	3	379.460	164.072	No	5.968	No	I	I1/2	I	Type I	
COc1cc2c(cc1OC)C(CC(=O)O)N(C(=O)c1cccc3ccc(C)nc13)CC2	3.775	1	5	5	420.465	179.773	No	5.521	No	I	II	I	Type I	
Cc1c(NC(=O)C(C)N(C)Cc2ccc(F)cc2)c(=O)n(-c2ccccc2)n1C	3.083	1	5	6	396.466	168.716	No	5.757	No	I	I1/2	I	Type I	
CSc1cccc(Nc2ccc(NC(=O)c3nccc4[nH]ccc34)nc2)c1	4.676	3	5	5	375.457	159.990	Yes	5.973	No	I	I1/2	I	Type I	
