SMILES	LogP	Donors	Acceptors	Rotable Bonds	Molecule Weight	Surface Area	CDK2 inhibitor	CDK2 pki	Allosteric or not	Type I or II	Type I1/2 or II	Type I or I1/2	final Decision
CC1(C)CN(c2ccc(C#N)c(N3CC(O)C(C)(C)C3)n2)CC1O	1.367	2	6	2	330.432	142.884	Yes	5.644	No	I	I1/2	I	Type I	
Cc1cc(C)n(-c2cncc(NC(c3ccc(Br)cc3)C(C)CO)n2)n1	3.823	2	6	6	416.323	160.993	Yes	6.002	No	I	I1/2	I	Type I	
Cc1ccc(OCCCC(=O)N(C)CC(=O)N(CC(C)C)c2c(N)n(CC(C)C)c(=O)[nH]c2=O)cc1	2.390	2	7	12	501.628	211.596	Yes	6.211	No	I	I1/2	I	Type I	
Cc1[nH]c(=O)c(C#N)c(C)c1CCC(=O)Nc1cccc(C2(C)NC(=O)NC2=O)c1	1.489	4	5	5	407.430	172.040	Yes	5.721	No	I	II	I	Type I	
Cc1cc(NCc2ccc(N3CCC(O)CC3)c(F)c2)nc2c(C(C)C)cccc12	5.379	2	4	5	407.533	177.303	Yes	5.392	No	I	I1/2	I	Type I	
Cc1[nH]c(C(=O)NCC(C(C)C)N2CCOCC2)c(C)c1C(=O)OC(C)C	2.283	2	5	7	379.501	161.334	Yes	5.831	No	I	I1/2	I	Type I	
CCCCn1c(=O)[nH]c(=O)c2c1nc(CNc1ccc(-n3cccn3)c(F)c1)n2CC	2.643	2	8	8	425.468	176.716	Yes	5.753	No	I	I1/2	I	Type I	
CN1CCN(C2CCN(CCOc3ccccc3C#N)CC2)C1=O	1.769	0	4	5	328.416	142.746	No	5.276	No	I	II	I	Type I	
N#Cc1cnc2c(F)c(F)c(F)cc2c1N1CCC(Cn2ccnn2)CC1	3.032	0	6	3	372.354	152.383	No	5.567	No	I	I1/2	I	Type I	
CCN(CC)c1ccc(NC(=O)CCCn2cnc3c2c(=O)n(C)c(=O)n3C)cc1	1.699	1	8	8	412.494	174.112	Yes	6.531	No	I	II	I	Type I	
Cc1cc(C)c(O)c(-c2n[nH]c3c2C(c2ccc(Cl)cc2)N(Cc2cccnc2)C3=O)c1	5.193	2	4	4	444.922	190.057	Yes	5.553	No	I	I1/2	I	Type I	
Cn1[nH]c(=O)c2c(C(=O)NC3CCCc4ccccc43)cc(C3CC3)nc21	2.946	2	4	3	362.433	156.143	Yes	6.224	No	I	I1/2	I	Type I	
COc1ccc2ncc(C#N)c(NCc3ccnc(N4CCNCC4)c3)c2c1	2.532	2	7	5	374.448	163.524	No	5.765	No	I	I1/2	I	Type I	
CC(=O)N1CCc2c(ncn(Cc3ncc(Br)cc3Cl)c2=O)C1	2.007	0	5	2	397.660	145.795	No	6.106	No	I	I1/2	I	Type I	
CCCCn1c(N)c(N(CCOC)C(=O)CN(C)CC(=O)Nc2ccc(Cl)c(Cl)c2)c(=O)[nH]c1=O	1.776	3	8	12	529.425	212.293	Yes	6.111	No	I	II	I	Type I	
CCN(CC(=O)Nc1c(C)cccc1C)C(=O)c1ccnc(C(=O)O)c1	2.497	2	4	6	355.394	151.216	Yes	5.399	No	I	II	I	Type I	
Cn1c(=O)c2c(ncn2CCCC(=O)N(Cc2ccncc2)Cc2cccnc2)n(C)c1=O	1.233	0	9	8	447.499	189.329	Yes	5.854	No	I	I1/2	I	Type I	
N#Cc1c(N2CCCCC2)nc(N)c2c(N)nc3c(c12)C(=O)CN3Cc1ccco1	2.452	2	9	3	403.446	172.430	No	5.799	No	I	I1/2	I	Type I	
Cn1c(=O)c2c(ncn2CC(=O)N2CCC(c3nc4ccccc4o3)CC2)n(C)c1=O	0.981	0	9	3	422.445	175.887	Yes	5.540	No	I	II	I	Type I	
Cc1ccnc2nc(C(=O)N3CCCN(c4ncc(C(F)(F)F)cc4Cl)CC3)nn12	2.852	0	7	2	439.829	173.848	No	5.666	No	I	II	I	Type I	
N#Cc1cc(C(=O)c2cc(Cl)ccc2O)cn(-c2cccc(C(F)(F)F)c2)c1=O	4.318	1	5	3	418.758	166.380	No	5.332	No	I	II	I	Type I	
Cc1cc(NS(=O)(=O)c2cc([N+](=O)[O-])c(F)cc2C)c(C#N)cc1N(C)C	3.089	1	6	5	392.412	155.595	Yes	5.867	No	I	I1/2	I1/2	Type I1/2	
CCn1c(CN(C)C2CCCN(c3ccccc3)C2)nc2cc(C(=O)O)ccc21	3.855	1	5	6	392.503	170.928	No	5.634	No	I	II	I	Type I	
CCCn1c(=O)c(CC(=O)c2ccccc2)nc2c1c(=O)[nH]c(=O)n2Cc1ccccc1	2.130	1	7	7	430.464	182.362	Yes	5.612	No	I	I1/2	I	Type I	
Cc1nn(C)c2ncc(NC(=O)C(c3ccc(Cl)cc3Cl)N3CCOCC3)cc12	3.596	1	6	4	434.327	178.102	Yes	5.920	No	I	I1/2	I	Type I	
C=CCOCC1(C(=O)N2CCCC2CNC(=O)c2nn(-c3ccccc3)cc2OCC=C)CCCN(C(=O)OC(C)(C)C)C1	4.378	1	8	12	607.752	259.358	No	5.801	No	I	II	I	Type I	
O=C(Nc1ccc(N2CCOCC2)cn1)c1nn(-c2ccc(F)cc2)c2c1CCC2	2.984	1	6	4	407.449	173.031	No	5.299	No	I	II	I	Type I	
CCn1cnc2c1c(=O)n(CC(=O)Nc1ccc(C)c(Br)c1)c(=O)n2Cc1ccccc1	3.138	1	7	6	496.365	191.817	Yes	5.691	No	I	II	I	Type I	
CN(C)CCN1Cc2cccc(NC(=O)c3nn(-c4ccccc4F)c4c3CCC4)c2C1	3.630	1	5	6	433.531	187.187	Yes	5.334	No	I	II	I	Type I	
CC(C)Cc1ccc(C(Nc2ccc(C(=O)N3CCS(=O)(=O)CC3)cn2)C(C)C)cc1	3.960	1	5	7	443.613	185.543	Yes	5.737	No	I	I1/2	I	Type I	
CC(C)Cn1ncc(C(=O)Nc2nc(C(C)C)nn2C)c1C(F)F	2.981	1	6	6	340.378	138.614	Yes	6.257	No	I	I1/2	I	Type I	
