SMILES	LogP	Donors	Acceptors	Rotable Bonds	Molecule Weight	Surface Area	CDK2 inhibitor	CDK2 pki	Allosteric or not	Type I or II	Type I1/2 or II	Type I or I1/2	final Decision
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C	3.449	4	4	4	408.579	174.448	Yes	5.778	No	I	I1/2	I	Type I	
C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F	3.071	3	6	13	495.542	202.556	No	5.613	No	I	II	I	Type I	
C[C@H](CCC(=O)O)C1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C	4.073	1	4	4	402.531	172.550	No	5.783	No	I	I1/2	I	Type I	
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	4.478	3	3	4	392.580	169.654	Yes	5.736	No	I	I1/2	I	Type I	
CC(=O)O.CCOc1cc2c(C#N)c(N3CCCC3)nc3c2c(n1)NC1(CCCCC1)N3	4.089	3	8	3	438.532	187.336	No	5.518	No	I	I1/2	I	Type I	
CCO.C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.Cl.Cl.O	-0.678	13	19	4	1025.886	411.807	No	5.936	No	I	I1/2	I	Type I	
CN(C)C=O.N#Cc1c(NC(=O)COc2ccc3c4c(c(=O)oc3c2)CCC4)sc2c1CCCCC2	4.206	1	7	5	507.612	213.019	Yes	5.232	No	I	II	I	Type I	
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	5.507	2	2	4	376.581	164.860	No	5.539	No	I	I1/2	I	Type I	
Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2	8.840	1	2	12	430.717	192.727	Yes	6.070	No	I	I1/2	I	Type I	
O=C(O)C(F)(F)F.O=C(O)c1n[nH]c2c(NC(=O)[C@@H]3CN(Cc4ccccc4)C[C@H]3c3ccc(Cl)cc3)cccc12	5.402	4	5	6	588.970	236.092	No	5.349	No	II	II	I	Type II	
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	4.478	3	3	4	392.580	169.654	Yes	5.736	No	I	I1/2	I	Type I	
CCN(CC)CC.O=S(=O)([O-])CCC[n+]1c(C=C2Sc3ccccc3N2CCCS(=O)(=O)O)sc2ccc3ccccc3c21	5.814	1	9	12	677.936	268.241	No	5.390	No	I	I1/2	I1/2	Type I1/2	
O=C(O)C(F)(F)F.O=C(O)c1n[nH]c2ccc(C(=O)N3CCC(Cc4nc5ccccc5[nH]4)CC3)cc12	3.866	4	5	4	517.464	206.657	No	5.815	No	I	II	I	Type I	
O=C(O)C(F)(F)F.O=C(O)c1n[nH]c2ccc(C(=O)N3CCC(n4ncc5ccccc54)C3)cc12	3.331	3	6	3	489.410	194.105	No	5.889	No	I	II	I	Type I	
CC1(C)CC2CC(C)(CN2C(=O)COC(=O)c2ncc(Cl)c(Cl)c2Cl)C1	4.626	0	4	3	419.736	167.490	No	5.580	No	I	I1/2	I	Type I	
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	7.597	0	1	5	384.648	173.676	No	5.605	No	I	I1/2	I	Type I	
