SMILES	LogP	Donors	Acceptors	Rotable Bonds	Molecule Weight	Surface Area	CDK2 inhibitor	CDK2 pki	Allosteric or not	Type I or II	Type I1/2 or II	Type I or I1/2	final Decision
CCc1cccc(C)c1N(C(=O)Cn1c(COc2ccc(C(C)(C)C)cc2)nc2ccccc21)C(C)COC	6.852	0	5	10	527.709	232.124	No	5.437	No	I	I1/2	I	Type I	
CCOc1cc(N2CCOCC2)c(OCC)cc1NS(=O)(=O)c1c(F)cc(F)c(Cl)c1F	4.192	1	6	8	494.919	188.613	No	5.581	No	I	I1/2	I	Type I	
Cn1ccc(C(=O)NC2CCc3c2ccc(Cl)c3Cl)cc1=O	3.109	1	3	2	337.206	137.216	Yes	5.558	No	I	II	I	Type I	
CN1CCN(c2ccc(S(=O)(=O)N3CCCCC3)cc2NC(=O)Cc2c(F)cccc2Cl)CC1	3.587	1	5	6	509.047	205.077	Yes	5.801	No	I	I1/2	I	Type I	
Cc1cc2occ(CC(=O)N(C)CC(=O)N(CC(C)C)c3c(N)n(CC(C)C)c(=O)[nH]c3=O)c2cc1C(C)C	3.643	2	7	10	539.677	228.323	Yes	5.973	No	I	I1/2	I	Type I	
CCCn1c(O)nnc1SC(C(=O)Nc1cc(Cl)ccc1Cl)C(C)C	4.456	2	6	7	403.335	160.470	Yes	5.906	No	I	I1/2	I	Type I	
Cc1cc(C(=O)N(C)C2CCc3ccccc3C2)nc2nc(O)[nH]c(=O)c12	1.962	2	5	2	364.405	155.255	Yes	5.849	No	I	I1/2	I	Type I	
Cc1nc2sc3c(c2c(=O)n1CC(O)COc1ccccc1C(C)C)CCC3	3.818	1	6	6	398.528	168.173	Yes	5.337	No	I	I1/2	I	Type I	
Cc1nc(-c2ccc(NCC(CC(C)C)C(=O)O)nc2)[nH]c(=O)c1C	2.608	3	5	7	344.415	146.099	Yes	5.626	No	I	I1/2	I	Type I	
N#Cc1c(N2CCCC(CO)C2)nc(N)c2c(N)nc3c(c12)CC(=O)N3c1cccc(F)c1	2.234	3	8	3	447.474	188.596	Yes	5.772	No	I	I1/2	I	Type I	
Cc1nc(C#N)c(N2CCC(C(=O)Nc3ccc(OC(F)F)c(Cl)c3)CC2)o1	3.965	1	6	5	410.808	164.393	Yes	6.042	No	I	I1/2	I	Type I	
CC(C)[C@H](C(=O)Nc1ccc(Oc2cccc(C(N)=O)c2)nc1)N(C)C.O=C(O)C(F)(F)F	3.131	3	6	7	470.448	187.902	Yes	6.452	No	I	II	I	Type I	
Cc1c(NC(=O)c2scnc2Br)c(=O)n(C2CCCCC2)n1C	3.472	1	6	3	399.314	146.185	Yes	5.945	No	I	I1/2	I	Type I	
CCCCCCc1cc2cc(-c3nnc(-c4cccc(OC5CCCC5)c4)o3)c(=O)oc2cc1O	6.660	1	7	9	474.557	203.312	Yes	5.546	No	I	I1/2	I	Type I	
Cn1cnc2c1c(=O)n(CC(=O)NCc1ccnc(-n3ccnc3)c1)c(=O)n2C	-0.669	1	10	5	394.395	163.443	Yes	6.212	No	I	I1/2	I	Type I	
CC1CN(c2cnn(-c3ccc(C(F)(F)F)cn3)c(=O)c2Cl)C(C)C(C)O1	3.302	0	6	2	402.804	158.074	No	5.375	No	I	I1/2	I	Type I	
CC1CN(c2ccc(NC(=O)C3(N)CCc4c3ccc(F)c4Br)cn2)CC(C)O1	3.336	2	5	3	463.351	177.304	Yes	5.650	No	I	I1/2	I	Type I	
CCN1CCC2CCC(C1)N2C(=O)c1ccc(OC2CCC2)cc1Cl	3.970	0	3	4	362.901	154.621	No	5.454	No	I	I1/2	I	Type I	
Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c1nn(-c2ccccc2)c2c1CCc1occc1-2	7.754	1	5	5	553.449	234.956	No	5.538	No	II	II	I	Type II	
CN(C)CCCN(C(=O)c1cnn(C(C)(C)C)c1)C(c1ccccc1)c1ccccc1	4.822	0	4	8	418.585	185.848	No	5.753	No	I	I1/2	I	Type I	
CCCCCCCCn1c(NCCc2ccccc2)nc2c1c(=O)[nH]c(=O)n2C	3.438	2	6	11	397.523	170.345	Yes	5.438	No	I	I1/2	I	Type I	
Cc1c(NC(=O)c2ccc(C#N)n2C)c(=O)n(C2CCCCC2)n1C	2.463	1	6	3	341.415	145.999	Yes	6.066	No	I	I1/2	I	Type I	
Cn1c(=O)c2c(ncn2CC(=O)N2CCN(CC(=O)N3CCCCCC3)CC2)n(C)c1=O	-1.019	0	9	4	445.524	185.364	Yes	5.672	No	I	I1/2	I	Type I	
CC(C)CC(NC(N)=O)C(=O)Nc1ccc(-c2nc3ccccc3n2C(F)F)cc1	4.120	3	4	7	415.444	171.822	Yes	5.197	No	I	II	I	Type I	
CCc1cccc(CC)c1-n1cc(C(=O)c2cc(C)ccc2O)cc(C#N)c1=O	4.079	1	5	5	386.451	169.040	No	5.375	No	II	II	I	Type II	
Cc1cccc(C)c1-n1c(=O)c(=Cc2ccccc2OC(F)F)sc1=C(C#N)C(=O)NC(C)C	3.145	1	6	6	483.540	198.596	Yes	5.596	No	I	II	I	Type I	
Cc1cc2occ(CC(=O)Nc3ccc(C(N)=O)cc3)c2cc1C(C)C	4.145	2	3	5	350.418	151.732	No	5.532	No	I	II	I	Type I	
CN(C)C(C(=O)Nc1cncc(Br)c1O)c1cncn1C	1.525	2	6	4	354.208	130.305	Yes	6.107	No	I	I1/2	I	Type I	
Cc1cc(C)n(N=Cc2c(F)c(F)c(F)c(F)c2F)c(=O)c1C#N	2.915	0	4	2	341.239	131.625	No	5.319	No	I	I1/2	I	Type I	
CC(C)c1ncc(OCc2ccccc2)c(C(=O)N2CCC([C@@H](C)O)CC2)n1	3.412	1	5	6	383.492	166.130	Yes	5.577	No	I	I1/2	I	Type I	
CC1CCN(CCOc2ccc(NC(=O)c3cncc4nc(C(F)(F)F)n(C)c34)cc2)C1	3.960	1	6	6	447.461	182.754	Yes	5.913	No	I	II	I	Type I	
N#Cc1cnc2c(F)c(F)c(F)cc2c1N1CCC(CO)(NCC2CC2)CC1	2.855	2	5	5	390.409	160.329	Yes	5.303	No	I	I1/2	I	Type I	
CN1CCC(N(C)S(=O)(=O)c2ccc(NC(=O)c3cc(Cl)cc(Cl)c3OC(F)F)cc2)CC1	4.562	1	5	7	522.401	200.810	Yes	5.653	No	I	II	I	Type I	
CC(C)(C)OC(=O)N1CCc2c(NC(=O)C(=O)Nc3ccc(Cl)c(F)c3)cccc21	4.354	2	4	2	433.867	177.694	No	5.589	No	I	II	I	Type I	
CC(C)(C)c1nc(C#N)c(NCC(c2ccccc2Cl)N2CCOCC2)o1	3.983	1	6	5	388.899	164.630	Yes	5.829	No	I	I1/2	I	Type I	
O=c1c(Cl)c(N[C@@H]2c3ccccc3C[C@@H]2O)cnn1-c1ccc(C(F)(F)F)cn1	3.370	2	6	3	422.794	167.142	Yes	5.520	No	I	II	I1/2	Type I	
CCc1cccc(CC)c1-n1c(SCc2nc3ccc(Cl)cc3n2CCO)nnc1-c1cccnc1	5.742	1	8	9	519.074	218.745	No	6.293	No	I	I1/2	I	Type I	
CC(C)C(NC(=O)C12CC3CC(CC(C3)C1)C2)C(=O)C=NN=CC1=C(N2CCOCC2)C(=Cc2ccc([N+](=O)[O-])cc2)CC1	5.341	1	8	10	601.748	258.401	No	5.679	No	I	I1/2	I1/2	Type I1/2	
CC(C)N1C(=O)CC(C(=O)Nc2ccc(F)c(C(N)=O)c2)C1c1ccc(Cl)c(F)c1	3.654	2	3	5	435.858	176.536	Yes	6.413	No	I	I1/2	I	Type I	
CC(C(N)=O)N1CCN(C(C)C(=O)N2CC(=O)Nc3cc(C(F)(F)F)ccc32)CC1	0.870	2	5	4	427.427	171.314	Yes	5.984	No	I	II	I	Type I	
CC1CN(C(=O)c2ccc(Oc3cccc(Cl)c3Cl)nn2)CCN1CC(C)(C)O	3.493	1	6	5	439.343	179.735	Yes	5.366	No	I	I1/2	I	Type I	
N#Cc1cc(CN2CCOCC2)cn(Cc2cc(F)ccc2OC(F)F)c1=O	2.341	0	6	6	393.365	158.869	No	5.593	No	I	I1/2	I	Type I	
CN(CC(=O)N(CCC(N)=O)Cc1ccccc1)C1c2cc(Cl)cc(Cl)c2CC1O	2.788	2	4	8	450.366	185.715	Yes	5.675	No	I	I1/2	I	Type I	
c1cnc(N2CCN(CCCNc3nc4ccccc4nc3N3CCOCC3)CC2)nc1	1.881	1	9	7	434.548	187.994	No	6.144	No	I	II	I	Type I	
CN1CCN(c2ccc(Cl)cc2NC(=O)c2nn(-c3ccc(F)cc3)c3c2CCC3)CC1	4.158	1	5	4	453.949	191.125	Yes	5.625	No	I	II	I	Type I	
CC(c1ccccc1)N(C)Cc1cc(=O)n(C)c(=O)n1C	1.277	0	5	4	287.363	123.620	No	5.753	No	I	I1/2	I	Type I	
Cc1c(NS(=O)(=O)c2cccc(C(=O)OCC(=O)N(C)C3CCCCC3)c2)c(=O)n(-c2ccccc2)n1C	3.233	1	8	8	540.642	221.405	Yes	5.785	No	I	I1/2	I	Type I	
CCCCCCn1c(N2CCN(Cc3ccc(Cl)c(Cl)c3)CC2)nc2c1c(=O)[nH]c(=O)n2C	3.633	1	7	8	493.439	202.281	Yes	5.584	No	I	I1/2	I	Type I	
CC(C)Nc1sc(C(=O)Nc2c(F)c(F)c(F)c(F)c2F)c(N)c1C(N)=O	3.197	4	5	5	408.352	152.884	Yes	5.776	No	I	I1/2	I1/2	Type I1/2	
CN1CCC(N2CCC(N(C)C(=O)c3cc4c(cc3F)NC(=O)CC4)C2)CC1	1.951	1	4	3	388.487	165.206	Yes	5.768	No	I	I1/2	I	Type I	
Cn1cnc2c1c(=O)n(CCCN1CCC(c3c[nH]c4ccccc34)CC1)c(=O)n2C	2.185	1	7	5	420.517	179.285	Yes	5.662	No	I	I1/2	I	Type I	
Cn1cnc2c1c(=O)n(CC(=O)N1CCCCC1c1nc3ccccc3s1)c(=O)n2C	1.797	0	9	3	438.513	180.733	No	5.462	No	I	I1/2	I	Type I	
Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1C(=O)c1cc(S(=O)(=O)N2CCOCC2)ccc1Cl	4.372	0	5	5	532.106	218.705	No	5.613	No	I	I1/2	I	Type I	
CC(C)Cn1cnc2c1c(=O)n(Cc1cc(=O)[nH]c(=O)[nH]1)c(=O)n2Cc1ccccc1	0.489	2	8	6	422.445	175.000	Yes	5.863	No	I	I1/2	I	Type I	
CCN(CC)c1nc(N)c2c(N)nc3c(c2c1C#N)CC(=O)N3c1ccc(S(N)(=O)=O)cc1	1.380	3	9	5	466.527	190.012	Yes	5.842	No	I	I1/2	I	Type I	
CC(=O)Oc1c(C)c(C)c2c(c1C)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2	9.060	0	3	13	472.754	209.938	No	5.551	No	I	I1/2	I	Type I	
Cc1nc2n(n1)CCN(c1c(C#N)cnc3c(F)c(F)c(F)cc13)C2	2.444	0	6	1	344.300	139.685	No	5.539	No	I	I1/2	I	Type I	
COc1cc(OC)c2ncc(C#N)c(NCc3cccnc3OCC(F)(F)F)c2c1	4.072	1	7	7	418.375	169.579	Yes	5.399	No	I	II	I	Type I	
OC1CC2CCC(C1)N2c1ncc(Cl)c(N2C3CCC2CC(O)C3)n1	2.114	2	6	2	364.877	152.368	Yes	5.659	No	I	I1/2	I	Type I	
CCCCCCCCOc1ccc(Nc2nc3ccccc3nc2NS(=O)(=O)c2cccc([N+](=O)[O-])c2)cc1	6.822	2	8	14	549.653	227.213	Yes	5.541	No	I	I1/2	I	Type I	
Cn1c(=O)n(C)c2cc(N3CCCCC3)c(NC(=O)c3cnc(Oc4ccccc4)cn3)cc21	3.702	1	8	5	458.522	196.175	Yes	6.491	No	I	II	I	Type I	
Cc1cc(Cl)c2ncc(C#N)c(N(C)CC3(O)CCOCC3)c2c1	3.046	1	5	3	345.830	145.975	Yes	5.319	No	I	I1/2	I	Type I	
CC1(C)C(/C=C/C=C/C=C/C=C2\\N(CCCCS(=O)(=O)[O-])c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21.[Na+]	5.374	0	7	14	774.981	342.011	No	5.470	No	I	I1/2	I	Type I	
CC(C)c1ccc(-n2cc(O)c(C(=O)N(C)C3CCN(C(=O)OC(C)(C)C)CC3)n2)cc1	4.173	1	6	4	442.560	189.315	No	5.623	No	I	I1/2	I	Type I	
CC(C(=O)Nc1ccc(C(N)=O)cc1)N1CCN(c2ccc(C(F)(F)F)cn2)CC1	2.348	2	5	5	421.423	171.216	Yes	5.632	No	I	II	I	Type I	
Cn1cnc2c1c(=O)n(CC(=O)N1CCCCC1Cc1ccccc1)c(=O)n2C	1.057	0	7	4	395.463	167.556	Yes	5.572	No	I	I1/2	I	Type I	
CCCCCCCCn1c(N2CCN(c3cccc(Cl)c3)CC2)nc2c1c(=O)[nH]c(=O)n2C	3.764	1	7	9	473.021	198.343	Yes	5.805	No	I	I1/2	I	Type I	
Cc1cc(C)c2ncc(C#N)c(N3CCC(O)(C(F)(F)F)C3)c2c1	3.227	1	4	1	335.329	136.690	Yes	5.445	No	I	I1/2	I	Type I	
CN1C=C(C(F)(F)F)C=CC1=C(C#N)C(=O)Nc1cc(C(F)(F)F)ccc1Cl	5.023	1	3	2	421.728	159.531	No	6.114	No	I	II	I	Type I	
Cn1c(COC(=O)c2ccc3c(c2)NC(=O)C2CCCN32)cc(=O)n(C)c1=O	0.362	1	8	3	384.392	159.690	Yes	6.576	No	I	II	I	Type I	
COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)Nc1cn[nH]c1)C(=O)OC2	3.010	3	6	7	385.420	162.099	Yes	5.639	No	I	I1/2	I	Type I	
Cn1cnc2c1c(=O)n(CC(=O)Nc1ccccc1N1CCCC1)c(=O)n2C	0.673	1	8	4	382.424	160.376	Yes	6.768	No	I	II	I	Type I	
c1cnn(-c2ccc(CN3CCCC(c4nnc5n4CCCCC5)C3)cc2)c1	3.570	0	6	4	376.508	165.742	No	5.426	No	I	I1/2	I	Type I	
Cn1c(=O)c2c(ncn2CCC(=O)N2CCC(C(=O)Nc3ccccc3)CC2)n(C)c1=O	0.701	1	8	5	438.488	183.632	Yes	5.717	No	I	II	I	Type I	
COc1cc(NC(=O)COc2c(Br)cnc3c2CN(C(=O)OC(C)(C)C)CC3)cc(OC)c1	4.172	1	7	6	522.396	201.036	No	5.498	No	I	II	I	Type I	
CC(C(=O)N1CC(=O)Nc2ccccc21)N1CCCc2ccccc2CC1	2.851	1	3	2	363.461	159.519	No	5.720	No	I	I1/2	I	Type I	
CC1(C)CC2CC(C)(CN2Cc2c(O)ccc3cc(-c4ccc5ccccc5n4)c(=O)oc23)C1	6.114	1	5	3	454.570	198.595	No	5.804	No	I	I1/2	I	Type I	
CCn1cc(C(=O)OCC(=O)NC(=O)NC2CCCCC2C)c(=O)c2cc(F)c(N3CCN(C(C)=O)CC3)cc21	2.390	2	8	6	557.623	231.171	No	6.036	No	I	II	I	Type I	
CC1CN(C(=O)c2cc(-c3ccc(Cl)cc3Cl)on2)C(C)CN1C	3.813	0	4	2	368.264	150.655	No	5.307	No	I	II	I	Type I	
CC(C)c1ccc(N2C(=O)Cc3c2nc(N)c2c(N)nc(N4CCOCC4)c(C#N)c32)cc1	2.847	2	8	3	443.511	191.114	Yes	5.806	No	I	I1/2	I	Type I	
