SMILES	LogP	Donors	Acceptors	Rotable Bonds	Molecule Weight	Surface Area	CDK2 inhibitor	CDK2 pki	Allosteric or not	Type I or II	Type I1/2 or II	Type I or I1/2	final Decision
CC1Oc2c(cccc2C(=O)NCc2ccc(N3CCCC(C(N)=O)C3)cc2)NC1=O	2.038	3	5	5	422.485	180.289	Yes	6.265	No	I	I1/2	I	Type I	
CCc1ccc(N2CCCCn3c2nc2c3c(=O)n(CCCc3ccccc3)c(=O)n2C)cc1	4.024	0	7	6	457.578	198.452	No	6.027	No	I	I1/2	I	Type I	
CC1(C)CN(c2c(C#N)cnc3c(Cl)cccc23)CCN1CCO	2.653	1	5	3	344.846	146.621	Yes	5.618	No	I	I1/2	I	Type I	
CCCCCn1c(CCC(=O)Nc2sc(CC)cc2C#N)nc2c1c(=O)[nH]c(=O)n2CCCC	3.943	2	8	12	484.626	202.000	Yes	5.583	No	I	I1/2	I	Type I	
CC(Cc1ccc(O)cc1)N(C)C(=O)c1ccnc2c(C(N)=O)cnn12	1.237	2	6	5	353.382	149.421	Yes	5.418	No	I	I1/2	I	Type I	
CN(c1cnn(-c2ccc(C(F)(F)F)cn2)c(=O)c1Cl)C1CCc2ccccc21	4.423	0	5	3	420.822	168.923	No	5.549	No	I	I1/2	I1/2	Type I1/2	
CC(C)Cn1c(-c2ccc(C(F)(F)F)cc2)nc2c1c(=O)[nH]c(=O)n2CC(C)C	3.884	1	5	5	408.424	164.562	Yes	5.577	No	I	II	I	Type I	
COc1cc2nc(N3CCC(c4noc5cc(F)ccc45)CC3)nc(N)c2cc1OC	3.894	1	8	4	423.448	177.298	No	5.535	No	I	I1/2	I	Type I	
CCN=c1scc(-c2ccc(O)c(C(N)=O)c2)n1N=Cc1ccc(C)o1	2.725	2	7	5	370.434	153.291	Yes	5.641	No	I	I1/2	I	Type I	
CC1CN(c2nc(N)c3c(N)nc4c(c3c2C#N)CC(=O)N4C2CCCC2)CC(C)O1	2.111	2	8	2	421.505	180.511	Yes	5.593	No	I	I1/2	I	Type I	
Cc1c(C)n2c3c(=O)n(CCCc4ccccc4)c(=O)n(C)c3nc2n1CCCn1ccnc1	2.686	0	9	8	459.554	196.090	No	5.837	No	I	I1/2	I	Type I	
Cn1c(N2CCC(c3cn[nH]c3)CC2)c(C#N)c(=O)n(C)c1=O	0.063	1	7	2	314.349	132.134	Yes	6.265	No	I	I1/2	I1/2	Type I1/2	
N#Cc1cnc2c(F)c(F)c(F)cc2c1NC1CC2CCC1O2	3.256	1	4	2	319.286	129.428	Yes	5.664	No	I	I1/2	I	Type I	
CC1CCc2[nH]c3ccc(C(=O)Nc4ccc(C(N)=O)cc4)cc3c2C1	3.644	3	2	3	347.418	151.141	Yes	5.449	No	I	I1/2	I	Type I	
Cc1c(C)n2c3c(=O)n(CCC(C)C)c(=O)n(C)c3nc2n1-c1ccc(C(N)=O)cc1	1.900	1	8	5	422.489	177.895	Yes	5.710	No	I	II	I	Type I	
O=C(Nc1cccc2c1CN(CC(F)(F)F)C2)c1ccc(C(F)(F)F)nc1	4.231	1	3	3	389.299	149.356	Yes	5.898	No	I	II	I	Type I	
Cc1c(NS(=O)(=O)c2ccc(NC(C)C(C)(C)O)c([N+](=O)[O-])c2)c(=O)n(-c2ccccc2)n1C	2.765	3	9	8	489.554	196.387	Yes	5.670	No	I	I1/2	I	Type I	
CCCCN1C(=O)c2ccc(C(=O)Nc3ccc(S(=O)(=O)NC4=NCCCCC4)cc3)cc2C1=O	3.586	2	6	7	496.589	204.221	Yes	5.751	No	I	II	I	Type I	
COc1cc2ncnc(Oc3cc(C(=O)Nc4ccc(CN5CCN(C)CC5)cc4F)ccc3C)c2cc1OC	4.887	1	8	8	545.615	232.047	No	5.694	No	I	II	I	Type I	
CC(C(=O)Nc1ccc(C#N)c(Cl)c1)N1CCC2(C)C(C1)C2(F)F	3.516	1	3	3	353.800	143.932	No	6.201	No	I	I1/2	I	Type I	
CC(C(=O)Nc1ccc(C(N)=O)cc1)N1CCN(c2ncc(C(F)(F)F)cc2Cl)CC1	3.002	2	5	5	455.868	181.519	Yes	5.701	No	I	II	I	Type I	
Cc1c(F)cc(Cl)c2c1CCCN2C(=O)c1ccc(=O)n(C)n1	2.474	0	4	1	335.766	136.842	No	5.674	No	I	I1/2	I	Type I	
Cc1cc2occ(CC(=O)N(CCC(C)C)c3c(N)n(Cc4ccccc4)c(=O)[nH]c3=O)c2cc1C	4.152	2	6	8	488.588	208.905	Yes	5.611	No	I	I1/2	I	Type I	
CCCCn1c(=O)[nH]c(=O)c2c1nc(CCC(=O)NC1CCCC(C(F)(F)F)C1)n2CC(C)C	3.512	2	6	9	485.551	195.495	Yes	5.574	No	I	I1/2	I	Type I	
CC(C)c1ccc(-c2nn3c(nc2=O)-c2ccccc2NC3C2CCC(C)(C(=O)O)C2(C)C)cc1	5.547	2	6	4	472.589	204.783	No	5.735	No	I	I1/2	I	Type I	
O=C(c1ccc(Oc2c(F)c(F)c(-c3ccc(C(=O)N4CCCCCC4)cc3)c(F)c2F)cc1)N1CCCCCC1	7.735	0	3	5	568.611	236.262	No	5.329	No	I	I1/2	I	Type I	
Cc1[nH]c(=O)c(C#N)c(C)c1CCC(=O)Nc1ccccc1OC(F)(F)F	3.333	2	4	5	379.338	152.138	Yes	5.347	No	I	II	I	Type I	
NC(=O)c1ccc(C(F)(F)F)n(CC(=O)Nc2cc(Cl)ccc2-n2cncn2)c1=O	1.839	2	7	5	440.769	170.436	Yes	6.124	No	I	II	I	Type I	
Cc1cccc(Nc2ccccc2C(=O)OCC(=O)N2CC(=O)Nc3ccccc32)c1C	4.189	2	5	5	429.476	185.552	No	5.856	No	I	II	I	Type I	
CC(C)N1C2CCC1CN(c1c(C#N)c(=O)n(C)c(=O)n1C)CC2	0.407	0	7	2	331.420	141.259	No	6.047	No	I	I1/2	I	Type I	
Cn1cncc1CN1CCC2(C1)c1ncn(C)c1CCN2C(=O)CCC(C)(C)C	2.466	0	6	4	398.555	173.275	No	5.980	No	I	I1/2	I	Type I	
CN1CCN(C)C(CNc2cc(C#N)c3cc([N+](=O)[O-])ccc3n2)C1	1.672	1	7	4	340.387	145.362	Yes	5.522	No	I	I1/2	I	Type I	
CCOc1ccc(C=C2N=C(c3ccccc3C)N(CCCCCC(=O)O)C2=O)cc1OCC	5.067	1	5	12	464.562	200.267	No	5.449	No	I	II	I	Type I	
Cc1ccc(C)c(OCC(O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)c1C	0.799	1	8	5	372.425	155.819	Yes	5.467	No	I	I1/2	I	Type I	
CCCn1c(CCC(=O)N2CCc3ccccc32)nc2cc(S(=O)(=O)N3CCCC3)ccc21	3.753	0	5	7	466.607	194.619	Yes	5.287	No	I	I1/2	I	Type I	
Cn1c(=O)c2c(ncn2CCC(=O)NC2CCc3ccccc32)n(C)c1=O	0.627	1	7	4	367.409	154.616	Yes	5.774	No	I	II	I	Type I	
CC(C(=O)Nc1ccc(Cl)cn1)N(C)Cc1c(F)cccc1Cl	3.987	1	3	5	356.228	143.776	Yes	5.493	No	I	I1/2	I	Type I	
Cc1nn(Cc2ccccc2Cl)c2c1C=Nc1cc(S(=O)(=O)N3CCCCC3)ccc1O2	4.924	0	6	4	470.982	191.893	No	5.770	No	I	I1/2	I	Type I	
COc1ccc2[nH]cc(CC(=O)Nc3cccc(OCC(F)F)n3)c2c1	3.397	2	4	7	361.348	147.693	Yes	5.369	No	I	II	I	Type I	
CCc1cc(-c2n[nH]c(C)c2-c2nc3ccccc3n2C)c(O)c(CN2CCN(C)CC2)c1O	3.660	3	7	5	460.582	199.015	Yes	6.485	No	I	I1/2	I	Type I	
CC(=O)N1CCc2cc(C(=O)N(CCN3CCCC3)Cc3ccc(Cl)c(Cl)c3)ccc21	4.641	0	3	6	460.405	193.065	No	5.606	No	I	II	I	Type I	
CN(C)CC(=O)Nc1ccc(NC(=O)c2ccc(NC(=O)NC(C)(C)C)cc2O)cc1	3.065	5	5	6	427.505	181.376	No	5.154	No	I	II	I	Type I	
CC(C(=O)Nc1ccc(O)c(C(=O)O)c1)N1CCc2ccccc2C1	2.476	3	4	4	340.379	145.258	Yes	5.387	No	I	I1/2	I	Type I	
CC1CCCCN1Cc1nc2c(c(=O)n(C)c(=O)n2C)n1CC=Cc1ccccc1	2.521	0	7	5	407.518	175.435	No	5.801	No	I	I1/2	I	Type I	
