SMILES	LogP	Donors	Acceptors	Rotable Bonds	Molecule Weight	Surface Area	CDK2 inhibitor	CDK2 pki	Allosteric or not	Type I or II	Type I1/2 or II	Type I or I1/2	final Decision
Cn1c(C2CC2)nc2cc(CNS(=O)(=O)c3cc4c(cc3F)NC(=O)CC4)ccc21	2.953	2	5	5	428.489	172.904	Yes	5.544	No	I	I1/2	I	Type I	
Cc1cc(C)nc(Nc2ccc(Cl)c(C(=O)NCc3cc(=O)c(O)cn3C)c2)n1	2.825	3	7	5	413.865	171.759	Yes	6.073	No	I	I1/2	I	Type I	
Cn1c(=O)cc(N2CCC(Nc3ccc(C#N)cn3)CC2)[nH]c1=O	0.421	2	7	3	326.360	137.931	Yes	5.826	No	I	I1/2	I1/2	Type I1/2	
Cc1ccnc(NC2CCc3c(nc(C)n3CCO)C2)c1[N+](=O)[O-]	1.765	2	7	5	331.376	139.258	Yes	5.543	No	I	I1/2	I1/2	Type I1/2	
Cc1cc(C(=O)Nc2cc(Cl)c(Cl)cn2)nc2c1c(=O)n(C)c(=O)n2C	1.895	1	7	2	394.218	156.569	Yes	5.945	No	I	II	I	Type I	
COc1ccc(S(=O)(=O)N2CCCCC2)cc1N.COc1ccc(S(=O)(=O)N2CCCCC2)cc1NS(=O)(=O)c1cc(C(=O)O)ccc1OC	3.829	3	11	11	754.906	292.637	No	5.752	No	I	I1/2	I	Type I	
CCCCN(C(=O)CCc1nc2c(c(=O)[nH]c(=O)n2CCCC)n1CC(C)C)c1ccccc1	4.108	1	6	12	467.614	200.177	Yes	5.374	No	I	I1/2	I	Type I	
CCCOc1ccc(CN(CCC)C(=O)c2nn(CCC)c(=O)c3ccccc23)cc1OCC	5.046	0	6	12	465.594	200.842	No	5.312	No	I	I1/2	I	Type I	
Cn1c(=O)c2c(ncn2CC(=O)N2CCCC(c3nc4ccccc4s3)C2)n(C)c1=O	1.450	0	9	3	438.513	180.733	Yes	5.672	No	I	I1/2	I	Type I	
Cn1cc(C=CC(=O)N2C(C(=O)O)CC3CCCCC32)c(=O)n(C)c1=O	0.342	1	6	3	361.398	149.899	Yes	5.522	No	I	I1/2	I	Type I	
CN(CC(=O)OCCCn1c(=O)c2c(ncn2C)n(C)c1=O)c1ncccn1	-0.707	0	11	7	387.400	159.385	No	5.627	No	I	I1/2	I	Type I	
CC1(C)Cc2cccc(OCC(O)CN3CCN(C(c4ccccc4)c4ccccc4)CC3)c2O1.Cl	4.969	1	5	8	509.090	220.607	No	5.402	No	I	I1/2	I	Type I	
CC(C)CCN1C(=O)Cc2c1nc(N)c1c(N)nc(N3CC(C)OC(C)C3)c(C#N)c21	2.215	2	8	4	423.521	181.517	Yes	5.718	No	I	I1/2	I	Type I	
Fc1ccc(-c2cc(-c3csc(=NCCc4ccc(Cl)cc4Cl)n3N=Cc3cnn(-c4ccc(Cl)cc4)c3)on2)cc1	8.182	0	8	8	637.955	258.290	No	5.471	No	I	I1/2	I	Type I	
CCCCn1cnc2c1c(=O)n(CC(=O)Nc1cccc(F)c1)c(=O)n2CC(C)C	2.594	1	7	8	415.469	172.518	Yes	5.702	No	I	I1/2	I	Type I	
COc1ccc(CCn2c(-n3ncc4ccc(OC)c(OC)c4c3=O)nc3c2c(=O)n(C)c(=O)n3C)cc1	1.401	0	12	7	518.530	215.404	No	5.851	No	I	II	I	Type I	
CC(C(=O)Nc1ncc(Cl)cc1Cl)n1nnc(-c2ccc(C(N)=O)cc2)n1	2.340	2	7	5	406.233	163.028	Yes	5.365	No	I	I1/2	I	Type I	
