SMILES	LogP	Donors	Acceptors	Rotable Bonds	Molecule Weight	Surface Area	CDK2 inhibitor	CDK2 pki	Allosteric or not	Type I or II	Type I1/2 or II	Type I or I1/2	final Decision
CC(C)(C)P(=NC(=S)Nc1ccc(S(=O)(=O)N2CCCC2)cc1)(N1CCCCCC1)N1CCCCCC1	6.750	1	3	5	567.806	230.129	Yes	5.842	No	I	I1/2	I	Type I	
Cc1[nH]c(=O)c(C#N)c(C)c1CCC(=O)N(C)Cc1cccc(Cl)c1Cl	3.761	1	3	5	392.286	161.710	Yes	5.348	No	I	I1/2	I	Type I	
Cc1ccc(-c2nn(Cc3ccccc3)cc2C2NC(=S)NC(O)(C(F)(F)F)C2C(=O)c2cccc(C(F)(F)F)c2)cc1	6.194	3	5	6	618.603	246.896	Yes	5.631	No	II	II	I1/2	Type II	
Cc1cc(CN(C)C(C)C(=O)NC(N)=O)cc(C)c1OCC(F)(F)F	2.260	2	4	6	361.364	143.664	Yes	5.392	No	I	I1/2	I	Type I	
Cc1ccc(-n2ncc(N3CCC4(CC3)COC(CN)C4)c(Cl)c2=O)cc1Cl	3.182	1	6	3	423.344	173.725	No	5.979	No	I	I1/2	I	Type I	
COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)Nc1ccn(C)n1)C(=O)OC2	3.021	2	7	7	399.447	168.674	Yes	5.658	No	I	I1/2	I	Type I	
Cc1c(NC(=O)CC(NC(N)=O)c2cccs2)c(=O)n(-c2ccccc2)n1C	2.284	3	6	6	399.476	165.117	Yes	5.381	No	I	I1/2	I	Type I	
CC(C)c1ccc(C(=O)Nc2cc3c(cc2N2CCCCC2)n(C)c(=O)n3C)c(O)c1	3.949	2	6	4	422.529	181.454	No	5.717	No	I	I1/2	I	Type I	
Cc1cccc(NC(=O)c2cccc(Cl)c2Cl)c1C(=O)N1CCCC1	4.790	1	2	3	377.271	156.277	Yes	5.895	No	I	II	I	Type I	
Cn1c(=O)c2c(ncn2CC(=O)NC2CCSc3ccccc32)n(C)c1=O	0.787	1	8	3	385.449	158.374	Yes	5.732	No	I	I1/2	I	Type I	
CC1Cc2cc(S(N)(=O)=O)ccc2N1Cc1c(F)c(F)c(F)c(F)c1F	2.981	1	3	3	392.349	145.631	Yes	5.722	No	I	I1/2	I1/2	Type I1/2	
CC(C)Oc1ccc(C(=O)Cn2cnc(C#N)c2C#N)cc1	2.297	0	6	5	294.314	127.742	No	5.496	No	I	I1/2	I	Type I	
CC(C)Cn1c(CCC(N)=O)nnc1SC(C)C(=O)N1c2ccccc2NC(=O)C1(C)C	2.596	2	7	8	458.588	191.676	Yes	6.528	No	I	I1/2	I	Type I	
CC(C)c1nc(C=Cc2ccc(C3(C#N)CC3)cc2)ncc1C(=O)O	4.024	1	4	5	333.391	146.230	No	5.315	No	I	II	I	Type I	
