SMILES	LogP	Donors	Acceptors	Rotable Bonds	Molecule Weight	Surface Area	CDK2 inhibitor	CDK2 pki	Allosteric or not	Type I or II	Type I1/2 or II	Type I or I1/2	final Decision
CC(C)(O)CN1CCc2c(cccc2NC(=O)c2ccccc2OC2CC2)C1	3.609	2	4	6	380.488	165.870	Yes	5.526	No	I	I1/2	I	Type I	
CCCn1c(SCCCn2c(=O)c3c(ncn3C)n(C)c2=O)nc2ccc(C(F)(F)F)cc21	3.395	0	9	7	480.516	190.216	No	5.802	No	I	I1/2	I	Type I	
Cc1c(N(C)S(=O)(=O)c2cccc(C(=O)Nc3ccn(C)n3)c2)c(=O)n(-c2ccccc2)n1C	2.295	1	8	6	480.550	196.245	Yes	6.687	No	I	I1/2	I	Type I	
CC(C)Oc1ccc(C(=O)NC(c2nccn2C)C(C)(C)CO)nc1	2.092	2	6	7	346.431	147.616	Yes	5.890	No	I	I1/2	I	Type I	
Cn1c(=O)c2c(ncn2CC(O)Cn2c3ccccc3c3ccccc32)n(C)c1=O	1.603	1	8	4	403.442	170.393	Yes	6.189	No	I	II	I	Type I	
CC(C)C(C#N)N1CCN(C(C)C(=O)Nc2ccc(Cl)cn2)CC1	2.228	1	5	5	349.866	147.951	Yes	5.896	No	I	I1/2	I	Type I	
Cc1c(CCC(=O)NCc2ccc(-n3cccn3)cc2)c(=O)[nH]c2c1c(=O)[nH]n2C	1.298	3	6	6	406.446	170.885	Yes	6.377	No	I	I1/2	I	Type I	
CCOC(=O)c1c(C)oc2c1c(C(c1ccccc1Cl)N1CCOCC1)c(O)c1ccccc12	5.852	1	6	5	479.960	202.171	No	6.310	No	I	II	I	Type I	
CN(Cc1cc(=O)[nH]c(N)n1)C1CCN(c2c(C#N)cnc3c(Cl)cccc23)C1	2.136	2	7	4	409.881	172.095	Yes	6.102	No	I	I1/2	I	Type I	
CCn1nccc1[C@@H]1OCC[C@H]1CNc1nc2c(c(=O)[nH]c(=O)n2C)n1C	0.366	2	9	5	373.417	154.331	Yes	5.656	No	I	I1/2	I	Type I	
Cc1ccccc1Nc1nc(N)nc(Cn2cnc3c2c(=O)n(C)c(=O)n3C)n1	0.301	2	11	4	393.411	164.057	Yes	6.355	No	I	I1/2	I	Type I	
CC1CCc2c(sc3nc(Cn4c(C(F)(F)F)ccc(C(N)=O)c4=O)nc(N)c23)C1	2.726	2	7	3	437.447	172.093	Yes	5.706	No	I	I1/2	I	Type I	
Cn1c(=O)ccn(CC(=O)N(c2cc3c(cc2Cl)OCO3)C2CCCCC2)c1=O	2.295	0	7	4	419.865	171.760	No	6.019	No	I	I1/2	I	Type I	
Cc1cc(C(=O)Nc2cc3c(cc2Cl)OCCCO3)c(C)n1CC(F)(F)F	4.734	1	4	3	402.800	158.560	Yes	5.991	No	I	II	I	Type I	
Cc1noc(C)c1C(C)(C)NC(=O)c1cc(F)c(Cl)c([N+](=O)[O-])c1Cl	4.311	1	5	4	390.198	151.780	Yes	5.815	No	I	I1/2	I1/2	Type I1/2	
CC(C)(C)c1ccc(CC2(C)CCCN2C(=O)c2ocnc2C(F)F)cc1	5.147	0	3	4	376.447	158.128	No	5.310	No	I	I1/2	I	Type I	
CC(C(=O)Nc1ccc(Cl)cn1)n1cc(C(C)(O)c2ccccc2Br)nn1	3.545	2	6	5	450.724	169.062	Yes	5.462	No	I	I1/2	I	Type I	
CC(C)CN(Cc1nc2cc(Cl)ccc2s1)c1c(N)n(CC(C)C)c(=O)[nH]c1=O	3.701	2	7	7	435.981	177.690	Yes	7.062	No	I	I1/2	I	Type I	
Cn1c(=O)c2c(ncn2CC(=O)N2CCC(C(=O)Nc3ccc4c(c3)OCO4)CC2)n(C)c1=O	0.040	1	10	4	468.470	192.854	No	5.665	No	I	II	I	Type I	
CCOc1cc(N2CCOCC2)c(OCC)cc1NC(=O)C1(c2ccc(Cl)cc2)CC1	4.644	1	5	8	444.959	187.971	No	5.568	No	I	II	I	Type I	
Cn1c(N2CCCCC2CNC(=O)c2ccccc2)c(C#N)c(=O)n(C)c1=O	0.745	1	7	4	381.436	162.178	Yes	6.211	No	I	I1/2	I	Type I	
CC(N=c1scc(-c2ccc(O)c(C(N)=O)c2)n1N=Cc1cc2c(cc1[N+](=O)[O-])OCCO2)c1ccc(Cl)cc1Cl	5.551	2	10	7	614.467	246.400	No	5.662	No	I	I1/2	I	Type I	
Cn1c(CN2CCCCC2c2nc3ccccc3s2)cc(=O)n(C)c1=O	2.421	0	7	3	370.478	154.886	No	5.663	No	I	I1/2	I	Type I	
Cc1c(NC(=O)c2cccc(NC(=O)Cn3cnc4c3c(=O)n(C)c(=O)n4C)c2)c(=O)n(-c2ccccc2)n1C	1.123	2	11	6	542.556	226.062	Yes	6.422	No	I	II	I	Type I	
CCC(Cc1ccc(C)cc1)N(C)C(=O)c1cncc(C(=O)O)c1	3.182	1	3	6	326.396	141.505	No	5.435	No	I	II	I	Type I	
CN(c1ncc(Cl)c(N(C)[C@@H]2CCC[C@H]2O)n1)[C@@H]1CCC[C@H]1O	1.829	2	6	4	340.855	141.650	Yes	5.540	No	I	I1/2	I	Type I	
Cc1nc(C(=O)N2CCC(Cc3ccccc3)CC2)c(=O)[nH]c1C	2.482	1	3	3	325.412	141.289	No	5.469	No	I	I1/2	I	Type I	
Cn1c(=O)c2c(ncn2CC(=O)N2CCc3sccc3C2c2ccccc2)n(C)c1=O	1.669	0	8	3	435.509	181.159	No	5.798	No	I	II	I	Type I	
C=CCOc1cn(-c2ccccc2)nc1C(=O)N1CC[C@@H](C)C[C@H]1CNC(=O)C(CC=C)NC(=O)OC(C)(C)C	4.263	2	7	11	551.688	235.946	No	5.548	No	I	II	I	Type I	
Cc1cc(Cl)c(C(C)C)cc1Oc1c(C#N)c(=O)n(C)c(=O)n1C	2.833	0	6	3	347.802	144.035	No	5.553	No	I	I1/2	I	Type I	
Cn1c(CN(Cc2ccccc2OC2CCCC2)Cc2cc(=O)n(C)c(=O)n2C)cc(=O)n(C)c1=O	1.005	0	10	8	495.580	208.157	No	6.035	No	I	I1/2	I	Type I	
CCCC(Cc1ccccc1)N(CCC)C(=O)c1cc2c([nH]c1=O)CCCC2O	4.008	2	3	8	396.531	172.324	Yes	5.361	No	I	I1/2	I	Type I	
Cc1cc(N2CCC(C(=O)Nc3ccc(Br)cn3)CC2)n2nc(C(F)(F)F)nc2n1	3.464	1	7	3	484.280	177.203	Yes	5.652	No	I	I1/2	I	Type I	
Cc1nnc(N2CCN(c3cncc4ccccc34)CC2)c(C#N)c1C	2.840	0	6	2	344.422	152.259	No	5.958	No	I	I1/2	I	Type I	
Cn1c(=O)c2c(ncn2CCCC(=O)Nc2nc3ccccc3s2)n(C)c1=O	1.462	1	9	5	398.448	162.434	Yes	5.901	No	I	I1/2	I	Type I	
COc1ccc(CNc2cccc3c2c(=O)cc(-c2ccc(C(C)(C)C)cc2)n3Cc2ccc(OC)cc2)cc1	7.644	1	5	8	532.684	235.572	No	5.328	No	I	I1/2	I	Type I	
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(S(=O)(=O)c4ccc5c(c4)OCCO5)CC3)cc21	2.141	1	8	5	517.535	205.663	No	5.340	No	I	II	I	Type I	
Cc1c(CCC(=O)N(C)C2CCc3ccccc32)c(=O)[nH]c2c1c(=O)[nH]n2C	1.942	2	4	4	380.448	161.520	Yes	6.290	No	I	I1/2	I	Type I	
Cc1nc2c(c(C(F)(F)F)n1)CC(C(=O)Nc1ccc(-c3ncc(C(C)C)o3)cc1)CC2	5.326	1	5	4	444.457	182.850	Yes	5.655	No	I	I1/2	I1/2	Type I1/2	
Cc1c(NC(=O)CNc2cccc(S(=O)(=O)N3CCCCCC3)c2)c(=O)n(-c2ccccc2)n1C	3.100	2	7	7	497.621	204.950	Yes	6.218	No	I	I1/2	I	Type I	
Cn1ccnc1C(NC(=O)c1cc(N2CCNC2=O)ccc1Cl)C(C)(C)CO	2.093	3	5	6	405.886	168.051	Yes	5.499	No	I	II	I	Type I	
CCCc1ccc(C(NC(=O)c2cnc3c(c2)c(=O)[nH]c(=O)n3C)C(C)C)cc1	2.701	2	5	6	394.475	168.358	Yes	5.957	No	I	I1/2	I	Type I	
CC1=CC(C)(C)N(CC(=O)c2ccc([N+](=O)[O-])cc2)c2ccc(C(c3ccccc3)(c3ccccc3)c3ccccc3)cc21	8.862	0	4	8	578.712	257.823	No	5.905	No	II	I1/2	I	Type II	
CC(C)(C)C1=CC(=CC2=C([O-])/C(=C\\c3cc(C(C)(C)C)[o+]c(C(C)(C)C)c3)C2=S)C=C(C(C)(C)C)O1.O=C(O)C(F)(F)F	8.987	1	4	2	620.774	258.085	Yes	5.366	No	I	I1/2	I	Type I	
CN1C(=O)CC(C(=O)N2CCc3c(ncn3C3CC3)C2)C1c1cccnc1	1.717	0	5	3	365.437	157.551	No	6.020	No	I	I1/2	I	Type I	
Nc1cc(C2CCN(c3cnn(-c4ccc(C(F)(F)F)cn4)c(=O)c3Cl)CC2)n[nH]1	2.989	2	7	3	439.829	173.025	Yes	6.280	No	I	I1/2	I	Type I	
Cc1nc2nc(C(F)(F)F)nn2c(C)c1CCC(=O)N(C)Cc1ccc(Cl)c(Cl)c1	4.658	0	5	5	460.287	180.178	No	5.535	No	I	II	I	Type I	
Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccn3)ccc21	2.986	4	7	9	471.521	201.092	Yes	5.900	No	II	II	I	Type II	
CC1c2cc(Cl)cc(Cl)c2CCN1c1ccc(C#N)nc1	4.384	0	3	1	318.207	133.286	No	5.513	No	I	I1/2	I	Type I	
Cc1nc(C(C)C)sc1C(C)N(C)C(=O)c1cc(C(=O)O)ccn1	3.501	1	5	5	347.440	144.730	No	5.591	No	I	II	I	Type I	
CN(C)c1ccc(C(=O)NCC(c2c(F)cccc2F)N(C)C)nn1	1.853	1	5	6	349.385	145.013	Yes	5.692	No	I	I1/2	I1/2	Type I1/2	
CN(C)c1cc(OCC2(O)CC(N(C)C(=O)CCc3ccccc3)C2)ncc1-c1ccccc1	4.178	1	5	9	459.590	201.363	No	5.193	No	I	II	I	Type I	
Cc1nc(C(=O)Nc2ccc(NC3CCCCC3)cc2)c(=O)[nH]c1C	3.384	3	4	4	340.427	146.629	Yes	6.052	No	I	I1/2	I	Type I	
Cc1cc(O)nc(C(C)N2CCN(c3nccc(C(C)C)n3)CC2)n1	2.287	1	7	4	342.447	148.325	Yes	5.715	No	I	I1/2	I	Type I	
CCCCn1c(=O)[nH]c(=O)c2c1nc(CCC(=O)N1CCN(Cc3nc(-c4ccc(C)cc4)no3)CC1)n2CC(C)C	2.978	1	10	11	576.702	243.903	Yes	5.770	No	I	I1/2	I	Type I	
Cc1noc2nc(-c3cccc(C(F)(F)F)c3)cc(C(=O)N(CCC(F)(F)F)CC3CC3)c12	6.022	0	4	6	471.401	183.913	No	5.336	No	I	II	I	Type I	
CC(C)C1CCC(c2c(-c3ccnn3C)ncn2CC2CCN(C)C(=O)C2)CC1	4.082	0	5	5	397.567	173.848	No	5.616	No	I	I1/2	I	Type I	
CCn1nnc(C)c1C(=O)N(C)Cc1ncc(C)c(OC)c1C	1.899	0	6	5	317.393	135.823	No	5.765	No	I	I1/2	I	Type I	
Cc1cc(O)cc(=O)n1CCC(=O)N1CCC(c2ccc(C#N)cn2)CC1	1.925	1	6	4	366.421	157.051	Yes	5.614	No	I	I1/2	I	Type I	
Cc1sc2nc(CN3CCCN(c4ccc(C(F)(F)F)cn4)CC3)nc(N)c2c1C	4.016	1	7	3	436.507	176.104	Yes	5.908	No	I	I1/2	I	Type I	
CC1N(C)c2cc(NC(=O)c3ccco3)c(P(=O)(Nc3ccccc3[N+](=O)[O-])N3CCOCC3)cc2C1(C)C	4.819	2	7	7	553.556	226.292	No	5.803	No	I	II	I	Type I	
CC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)OCc2ccc(Cl)cc2)cn3C2CC2)CC1	4.154	0	6	5	497.954	206.189	No	5.271	No	I	II	I	Type I	
N#Cc1cc(N2CCC(C(O)c3ncc[nH]3)CC2)nc2ccc([N+](=O)[O-])cc12	2.688	2	7	4	378.392	159.967	Yes	5.343	No	I	I1/2	I	Type I	
Cc1cc(C)c(NC(=O)CN2CCCN(c3ccc(C(F)(F)F)cn3)CC2)c(Cl)c1	4.521	1	4	4	440.897	178.383	Yes	5.439	No	I	II	I	Type I	
COc1ccc(N(CC(F)(F)F)C(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1	1.038	0	8	5	425.367	167.077	No	5.651	No	I	II	I	Type I	
Cc1nnc(CN2CC(C)C(=O)Nc3ccccc32)n1C1CC1	2.516	1	5	3	311.389	135.059	No	6.761	No	I	I1/2	I	Type I	
Cc1c(NC(=O)CN2C(=O)NC3(CCCCC3C)C2=O)c(=O)n(-c2ccccc2)n1C	1.924	2	6	4	425.489	179.544	Yes	5.526	No	I	I1/2	I	Type I	
Cc1nc(-c2ccccn2)nc(O)c1CCC(=O)Nc1cccc(OCC(=O)N2CCCC2)c1	3.125	2	7	8	461.522	197.389	Yes	5.715	No	I	II	I	Type I	
Cc1c(NC(=O)C(C)N(C)C2CCN(C)CC2)c(=O)n(-c2ccccc2)n1C	1.837	1	6	5	385.512	166.072	Yes	5.649	No	I	I1/2	I	Type I	
Cc1nn(C)c2c1N(C(=O)c1nn(-c3cccc(C(F)(F)F)c3)c(C)cc1=O)CCS2	3.354	0	7	2	449.458	179.022	No	5.776	No	I	I1/2	I	Type I	
CN(C(=O)c1ccccc1)C1CC2CCC(C1)N2c1cnc(C#N)cn1	2.620	0	5	3	347.422	152.639	No	5.808	No	I	I1/2	I	Type I	
Cc1cc(C(=O)Nc2ccc(CN(C)C)c(C(F)(F)F)c2)c(C)n1C1CCCOC1	4.789	1	4	5	423.479	174.362	Yes	5.917	No	I	II	I	Type I	
Cc1nn(CCC(=O)Nc2c(Cl)cccc2Cl)c(=O)c(C#N)c1C	3.067	1	5	4	365.220	148.168	Yes	6.158	No	I	I1/2	I	Type I	
CC1CC(=O)c2c(OCC(=O)N3CCC(C(=O)Nc4ccccc4)CC3)ccc(Cl)c21	4.286	1	4	5	440.927	186.067	No	5.741	No	I	II	I	Type I	
Cc1cc(OCC(=O)N2CC(n3cc(C#N)c(=O)[nH]c3=O)C2)cc(C)c1Cl	1.141	1	6	4	388.811	159.105	Yes	5.483	No	I	I1/2	I	Type I	
Cc1nc(C2CCCN2c2ccc3ncccc3c2[N+](=O)[O-])[nH]c1C	3.824	1	5	3	337.383	144.415	Yes	5.798	No	I	I1/2	I	Type I	
CC(c1ccccc1)N(C)C(=O)CCCn1cnc2c1c(=O)n(C)c(=O)n2C	1.433	0	7	6	383.452	162.197	Yes	5.786	No	I	I1/2	I	Type I	
CCc1ocnc1C(=O)N(C)C1c2cc(Cl)cc(Cl)c2CC1O	3.274	1	4	3	355.221	143.373	No	5.347	No	I	II	I	Type I	
CCCCCn1c(NCCC(c2ccccc2)c2ccccc2)nc2c1c(=O)[nH]c(=O)n2C	4.248	2	6	10	445.567	192.673	Yes	5.324	No	I	I1/2	I	Type I	
Cc1cc(=O)c(C(=O)NCc2ccc(Oc3cccnc3)c(F)c2)nn1-c1ccccc1C(F)(F)F	4.816	1	6	6	498.436	201.548	No	5.777	No	II	II	I	Type II	
Cc1ccc(NC(=O)C2CCN(C(=O)OC(C)(C)C)C2C(C)C)cc1C(N)=O	3.314	2	4	4	389.496	166.147	Yes	6.094	No	I	I1/2	I	Type I	
CC1CC(=O)Nc2ccccc2N1C(=O)CN(C)C(C(N)=O)c1ccccc1	1.909	2	4	5	380.448	163.661	Yes	5.813	No	I	II	I	Type I	
CC(=O)Nc1cc(F)c(S(=O)(=O)N(C2CC2)C2(C#N)CCC2)c(F)c1Cl	3.176	1	4	5	403.838	154.328	Yes	5.621	No	I	I1/2	I1/2	Type I1/2	
CC(=O)N1CCc2cc(NC(C)C(=O)c3c(N)n(C)c(=O)n(C)c3=O)ccc21	0.259	2	8	4	385.424	160.922	Yes	6.511	No	I	I1/2	I	Type I	
O=C1CN(C(=O)C2CCc3[nH]nc(C(F)(F)F)c3C2)Cc2ccccc2N1	2.514	2	3	1	378.354	152.288	Yes	5.716	No	I	I1/2	I	Type I	
