SMILES	LogP	Donors	Acceptors	Rotable Bonds	Molecule Weight	Surface Area	CDK2 inhibitor	CDK2 pki	Allosteric or not	Type I or II	Type I1/2 or II	Type I or I1/2	final Decision
CCCCCCn1c(N(C)Cc2ccccc2)nc2c1c(=O)[nH]c(=O)n2C	2.640	1	6	8	369.469	157.826	Yes	5.591	No	I	I1/2	I	Type I	
CCN1CCN(c2nc(N)c3c(N)nc4c(c3c2C#N)CC(=O)N4Cc2ccccc2Cl)CC1	2.550	2	8	4	476.972	202.064	Yes	5.778	No	I	I1/2	I	Type I	
CC(NC(C)c1cccc(F)c1)C(=O)c1c(N)n(C)c(=O)n(C)c1=O	0.727	2	7	5	348.378	143.442	Yes	6.333	No	I	I1/2	I	Type I	
Cc1[nH]c(=O)c(C#N)c(C)c1CCC(=O)Nc1ccc(Cl)c(S(=O)(=O)N2CCCC2)c1	2.873	2	5	6	462.959	185.441	Yes	5.420	No	I	I1/2	I	Type I	
CN(CC(=O)Nc1c(Cl)cccc1Cl)C(=O)c1cc(S(=O)(=O)N(C)C)ccc1N1CCCC1	3.555	1	5	7	513.447	203.652	No	5.865	No	I	II	I	Type I	
Cc1c(NC(=O)C(C)Nc2cccc3c2CCCC3)c(=O)n(-c2ccccc2)n1C	3.802	2	5	5	404.514	176.064	No	5.741	No	I	I1/2	I	Type I	
CC(c1ccc(F)c(F)c1)N(C)C(=O)Cn1[nH]c(=O)ccc1=O	1.034	1	4	4	323.299	129.506	Yes	5.559	No	I	I1/2	I1/2	Type I1/2	
Cn1cnc2c1c(=O)n(CC(=O)N1CCCC(c3nc4ccccc4s3)C1)c(=O)n2C	1.450	0	9	3	438.513	180.733	No	5.666	No	I	I1/2	I	Type I	
COCCn1c(=O)[nH]c(=O)c2c(C(F)(F)F)cc(-c3cc(F)c(Cl)cc3Cl)nc21	3.863	1	5	4	452.191	169.204	Yes	6.343	No	I	II	I	Type I	
CN(Cc1cc(=O)n(C)c(=O)n1C)C1CCCc2ccccc21	1.593	0	5	3	313.401	135.344	No	5.753	No	I	I1/2	I	Type I	
CCOc1cc(N2CCOCC2)c(OCC)cc1NC(=O)c1cc2c(C)nn(Cc3ccccc3Cl)c2s1	5.994	1	8	9	555.100	230.599	No	5.358	No	I	II	I	Type I	
Cc1nn(-c2cccc(Cl)c2)c(Cl)c1C1NC(N)=Nc2nc3cc4c(cc3n21)OCCCO4	4.095	2	9	2	484.347	198.270	No	5.624	No	I	I1/2	I	Type I	
Cn1c(=O)c2cc(C(=O)Nc3cc(C4CCCC4)[nH]n3)n(C)c2n(C)c1=O	1.209	2	7	3	370.413	154.159	Yes	5.880	No	I	I1/2	I	Type I	
Cc1cc(C)c(O)c(-c2n[nH]c3c2C(c2cccc(O)c2)N(Cc2cccnc2)C3=O)c1	4.245	3	5	4	426.476	184.548	Yes	5.528	No	I	I1/2	I	Type I	
Cn1c(N2CCCC(C(=O)Nc3ccc(Br)cn3)C2)c(C#N)c(=O)n(C)c1=O	0.968	1	8	3	447.293	168.900	Yes	6.305	No	I	I1/2	I	Type I	
COc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)c1ccc2c(c1)C(=O)N(c1ccc(Cl)c(Cl)c1)C2=O	4.305	1	6	6	548.404	216.764	No	5.654	No	I	II	I	Type I	
CC(C)C1=CC2=CC[C@@H]3[C@](C)(CCC[C@@]3(C)C(=O)N(C)C3CCN(C)C3=O)[C@H]2CC1	4.811	0	2	3	412.618	182.303	No	5.596	No	I	I1/2	I	Type I	
Cc1c(N(C)S(=O)(=O)c2ccc(Cl)c(C(=O)OCC(=O)NC3CCCC3)c2)c(=O)n(-c2ccccc2)n1C	3.179	1	8	8	561.060	225.343	No	5.772	No	I	I1/2	I	Type I	
O=C1CCc2cc(NCc3c(Cl)cccc3N3CCOCC3)c(F)cc2N1	3.813	2	4	4	389.858	162.000	Yes	5.817	No	I	I1/2	I	Type I	
CC(C)N(Cc1cc2c(s1)CCC2)Cc1cc(=O)n(C)c(=O)n1C	2.045	0	6	5	347.484	145.715	No	5.698	No	I	I1/2	I	Type I	
CC1CN(c2ccncc2)CCN1C(=O)c1nccc2occc12	2.574	0	5	2	322.368	139.269	No	5.623	No	I	I1/2	I	Type I	
Cc1c(C#N)c(NC(=O)CN2CCN(C3CCS(=O)(=O)C3)CC2)n(Cc2ccc(F)cc2)c1C	1.907	1	7	6	487.601	199.420	Yes	6.240	No	I	I1/2	I	Type I	
Cn1cc(NC(=O)[C@H]2C3CCC(CC3)[C@@H]2C(F)(F)F)c(=O)n(C)c1=O	1.637	1	5	2	359.348	141.189	Yes	6.032	No	I	I1/2	I	Type I	
CC(NC(=O)c1ccc(C(N)=O)cn1)c1cc(F)ccc1N1CCC(O)CC1	1.772	3	5	5	386.427	161.919	Yes	6.128	No	I	I1/2	I	Type I	
CC(NC(=O)c1cnc(C(F)(F)F)nc1)c1ccc(Br)cc1OCCCO	3.510	2	5	7	448.239	161.466	Yes	5.650	No	I	II	I	Type I	
Cn1c(=O)c2c(ncn2CCNc2ccccc2N2CCCCCC2)n(C)c1=O	1.926	1	8	5	396.495	168.945	Yes	6.759	No	I	I1/2	I	Type I	
CCc1cc(-c2n[nH]c(C)c2-c2ccc(F)cc2)c(O)cc1OCc1ccccc1	6.038	2	3	6	402.469	174.533	No	5.740	No	I	I1/2	I	Type I	
Cc1cc2ncn(CC(O)CN3CCN(c4ccncc4Cl)CC3)c2cc1C	2.885	1	6	5	399.926	169.924	Yes	5.636	No	I	I1/2	I	Type I	
CCc1cc2c(=O)c(-c3nc4ccccc4[nH]3)coc2c(CN2CCCCCC2)c1O	4.980	2	5	4	417.509	180.080	Yes	5.848	No	I	II	I	Type I	
Cc1[nH]c(=O)c(C#N)c(C)c1CCC(=O)N1CCN(c2cccc(C(F)(F)F)c2)CC1	3.164	1	4	4	432.446	177.449	Yes	5.489	No	I	I1/2	I	Type I	
CCn1c(CCC(=O)N2CCCC2c2nc3ccccc3s2)nc2cc(S(N)(=O)=O)ccc21	3.610	1	7	6	483.619	195.651	Yes	5.348	No	I	I1/2	I	Type I	
O=c1c(Cl)c(NCc2ccccc2CO)cnn1-c1ccc(C(F)(F)F)cn1	3.404	2	6	5	410.783	161.783	Yes	5.552	No	I	II	I	Type I	
CCCCN1/C(=C/C2=C([S-])/C(=C/C3=[N+](CCCC)c4ccccc4C3(C)C)C2=S)C(C)(C)c2ccccc21	8.456	0	3	8	540.842	239.810	No	5.367	No	I	I1/2	I	Type I	
CC(C)C(=O)Nc1cc(C(=O)Nc2c(C(C)C)n[nH]c2C(N)=O)ccn1	1.874	4	5	6	358.402	150.314	Yes	6.262	No	I	I1/2	I	Type I	
Cc1ccc(OCC(=O)N(C)CC(=O)N(CC(C)C)c2c(N)n(CC(C)C)c(=O)[nH]c2=O)c(C)c1	1.918	2	7	10	487.601	205.231	Yes	6.399	No	I	I1/2	I	Type I	
CCN(CC)CCn1c(NC(=O)c2cc([N+](=O)[O-])ccc2NC)nc2ccccc21	3.580	2	7	9	410.478	174.403	Yes	5.764	No	I	II	I	Type I	
Cc1ccccc1OCc1nc2c3c4c(sc3ncn2n1)C(C)(C)NC(C)(C)C4	4.386	1	7	3	407.543	173.498	Yes	5.751	No	I	I1/2	I	Type I	
CC(C)c1ncc(Cl)c(C(=O)NC(C(=O)N2CCOCC2)C(C)C)n1	1.867	1	5	5	368.865	152.659	Yes	5.671	No	I	I1/2	I	Type I	
CN(CC(=O)Nc1ccc(Cl)c(C(F)(F)F)c1)C(=O)c1cnc2c(c1)c(=O)n(C)c(=O)n2C	2.015	1	7	4	483.834	188.559	Yes	6.237	No	I	II	I	Type I	
CC(c1ccccc1Cl)N(C)c1cnn(-c2ccc(C(F)(F)F)cn2)c(=O)c1Cl	5.151	0	5	4	443.256	173.867	No	5.567	No	I	II	I1/2	Type I	
O=[N+]([O-])c1ccc(N2CCOc3cc(F)ccc3C2)c(F)c1N1CCOCC1	3.109	0	6	3	391.374	159.762	No	5.711	No	I	I1/2	I	Type I	
Cc1nn(C2CCS(=O)(=O)C2)c2[nH]c(COC(=O)c3ccc(S(=O)(=O)N(C)C)cc3)cc(=O)c12	1.000	1	9	6	508.578	195.858	Yes	5.602	No	I	I1/2	I	Type I	
Cc1c(NC(=O)c2cc3c(cc2F)NC(=O)CC3)c(=O)n(-c2ccccc2)n1C	2.761	2	5	3	394.406	165.296	Yes	5.800	No	I	II	I	Type I	
CCCCCCCCCn1c(N2CCN(c3ccccc3)CC2)nc2c1c(=O)[nH]c(=O)n2C	3.501	1	7	10	452.603	194.404	No	5.825	No	I	I1/2	I	Type I	
Cc1[nH]c(=O)c(C#N)c(C)c1CCC(=O)N(C)CC(=O)Nc1ccc(F)c(F)c1F	2.310	2	4	6	420.391	169.676	Yes	5.784	No	I	I1/2	I	Type I	
CC1(C)CN(C(=O)c2cccc(C(N)=O)n2)C(C)(C)CN1Cc1ccccc1	2.696	1	4	4	380.492	165.899	Yes	5.673	No	I	I1/2	I	Type I	
CC(C)Cn1[nH]c(CC(=O)Nc2cncc3c2CCCC3)cc1=O	2.287	2	4	5	328.416	140.832	Yes	6.316	No	I	I1/2	I	Type I	
Cc1c(NC(=O)c2cc3c(=O)n(C)c(=O)n(C)c3s2)c(=O)n(-c2ccccc2)n1C	1.349	1	9	3	425.470	173.565	Yes	5.730	No	I	II	I	Type I	
