SMILES	LogP	Donors	Acceptors	Rotable Bonds	Molecule Weight	Surface Area	CDK2 inhibitor	CDK2 pki	Allosteric or not	Type I or II	Type I1/2 or II	Type I or I1/2	final Decision
COc1ccnc(Cn2cnc3sc4c(c3c2=O)CCC4)c1OC	2.407	0	7	4	343.408	142.252	No	5.969	No	I	I1/2	I	Type I	
CCOc1cc(N2CCOCC2)c(OCC)cc1NC(=O)c1cc2c(C)nn(Cc3ccc(F)cc3)c2s1	5.480	1	8	9	538.645	224.461	No	5.343	No	I	I1/2	I	Type I	
CC(C)c1cccc(C(C)C)c1NC(=O)Cn1nc(C(C)(C)C)c(CCC#N)c1O	5.228	2	5	7	410.562	179.468	Yes	5.481	No	I	I1/2	I	Type I	
N#Cc1cn(C2CN(C(=O)C3C4C5CC6C7C5CC4C7C63)C2)c(=O)[nH]c1=O	0.186	1	5	2	364.405	154.522	No	5.778	No	I	I1/2	I	Type I	
Cc1c(NC(=O)CN2C(=O)N(C)C3(CCCCC3)C2=O)c(=O)n(-c2ccccc2)n1C	2.020	1	6	4	425.489	179.754	Yes	5.407	No	I	II	I	Type I	
CCN(CC(=O)Nc1c(C)cccc1C)C(=O)c1cc(C(=O)O)ccn1	2.497	2	4	6	355.394	151.216	Yes	5.799	No	I	II	I	Type I	
O=C1CCCc2[nH]c(=O)c(C(=O)NCCNc3ncc(C(F)(F)F)cc3Cl)cc21	2.803	3	5	5	428.798	167.226	Yes	5.399	No	I	II	I	Type I	
Cn1c(N2CCC(CCCn3ccnc3)CC2)c(C#N)c(=O)n(C)c1=O	0.849	0	8	5	356.430	151.471	No	6.267	No	I	I1/2	I	Type I	
Cn1c(N2CC(c3ccccc3)CC2(C)C)cc(=O)n(C)c1=O	1.857	0	5	2	313.401	135.344	No	5.966	No	I	I1/2	I	Type I	
CN(Cc1ccccc1N1CCCCC1)C(=O)Cn1c(=O)c2c(ncn2C)n(C)c1=O	1.083	0	8	5	424.505	179.681	Yes	5.479	No	I	II	I	Type I	
CN(Cc1ccc(C(F)(F)F)cc1)C(=O)CCn1cnc2c1c(=O)n(C)c(=O)n2C	1.501	0	7	5	423.395	168.329	Yes	5.751	No	I	II	I	Type I	
Cn1ccnc1-c1sc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)nc1-c1ccccc1	1.596	1	11	5	476.522	196.140	Yes	5.808	No	I	I1/2	I	Type I	
CCN1CCC2CCC(C1)N2C(=O)Nc1ccc2c(c1)Cc1ccccc1-2	4.348	1	2	2	361.489	160.716	No	5.214	No	I	I1/2	I	Type I	
CCn1cc(C#N)c(=O)n(CC(=O)c2cc(OC)c(OC)c(OC)c2)c1=O	0.810	0	9	7	373.365	154.485	No	5.692	No	I	II	I	Type I	
CC(C)Cn1c(=O)[nH]c(=O)c2c(C(=O)NCC(F)(F)c3ccc(F)cc3F)cc(C(C)C)nc21	3.664	2	5	7	480.462	191.385	Yes	6.202	No	I	I1/2	I	Type I	
Cc1cc(Oc2ncccc2C#N)ccc1NC(=O)c1ncccc1C(F)(F)F	4.720	1	5	4	398.344	163.159	No	5.362	No	I	II	I	Type I	
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O	5.577	0	12	11	705.647	293.884	Yes	5.739	No	I	I1/2	I1/2	Type I1/2	
Cn1c(=O)c2c(ncn2CC(=O)Nc2ccccc2N2CCCCC2)n(C)c1=O	1.063	1	8	4	396.451	166.741	Yes	6.767	No	I	II	I	Type I	
Cc1[nH]c(=O)c(C#N)c(C)c1CCC(=O)N1CCc2c(F)ccc(F)c2C1	2.659	1	3	3	371.387	154.793	Yes	5.327	No	I	I1/2	I	Type I	
Cn1c(=O)c2ccc(C(=O)NC3(CO)COc4ccccc4C3)nc2n(C)c1=O	-0.272	2	8	3	396.403	164.740	Yes	6.085	No	I	II	I	Type I	
CC1(Cc2ccc(OC(F)(F)F)cc2)CCCN1C(=O)c1ccc(C#N)cn1	4.089	0	4	4	389.377	159.911	No	5.219	No	I	II	I	Type I	
C=CCOCC1(C(=O)N2CCc3ccccc3C2CNC(=O)c2cc(S(=O)(=O)N(CC=C)c3ccccc3)ccc2Cl)CCCN(C(=O)OC(C)(C)C)C1	6.797	1	7	13	777.384	323.153	No	5.911	No	I	II	I	Type I	
COc1ccc(OC)c(-n2c(=O)c(=Cc3cc(Br)c(O)c(OC)c3)sc2=C(C#N)C(=O)Nc2ccccc2Br)c1	4.297	2	9	7	687.366	248.984	No	5.731	No	I	II	I	Type I	
Cn1c(NCCCNc2ccc(C(F)(F)F)cn2)c(C#N)c(=O)n(C)c1=O	1.284	2	8	6	382.346	151.434	Yes	6.280	No	I	I1/2	I	Type I	
Cc1cc(C(=O)Nc2ccc(Oc3ccc(F)cc3)cn2)c2c(=O)[nH]n(C)c2n1	3.149	2	6	4	393.378	163.521	Yes	5.937	No	I	II	I	Type I	
CC(C)CCn1c(NCCC(c2ccccc2)c2ccccc2)nc2c1c(=O)[nH]c(=O)n2C	4.104	2	6	9	445.567	192.673	Yes	5.408	No	I	I1/2	I	Type I	
CC(c1cnccn1)N1Cc2cnn(-c3ccccc3)c2CC(C)(C)C1	3.808	0	5	3	347.466	154.266	No	5.969	No	I	I1/2	I	Type I	
O=C(NCC(c1c(F)cccc1Cl)N1CCCC1)c1cc(Cl)sc1Cl	5.414	1	3	5	421.752	164.224	Yes	5.711	No	I	I1/2	I	Type I	
CC1(C)[C@H]2CC=C(COC(=O)CCn3c(=O)[nH]c(=O)c4ccccc43)[C@@H]1C2	2.616	1	5	5	368.433	156.403	No	5.564	No	I	I1/2	I	Type I	
COc1ccc(N(CCC(N)=O)C(=O)CN2CCCN(c3ccc(C(F)(F)F)cn3)CC2)cc1	2.530	1	6	8	479.503	195.634	No	5.766	No	I	II	I	Type I	
CC(C)(C)OC(=O)N1CCC(c2cc(C(=O)Nc3ccc4cc(Cl)cnc4n3)[nH]n2)C1	3.983	2	6	3	442.907	183.700	Yes	5.461	No	I	I1/2	I	Type I	
CC(C)Cn1cnc2c1c(=O)n(CC(=O)Nc1cccc([N+](=O)[O-])c1)c(=O)n2CC(C)C	2.219	1	9	8	442.476	183.005	Yes	5.642	No	I	I1/2	I	Type I	
CN1CCc2nc(C=Cc3cc(Cl)cc4c3OCC4)[nH]c(=O)c2C1	2.516	1	4	2	343.814	144.484	Yes	5.381	No	I	I1/2	I	Type I	
CCCCCCn1c(N2CCN(Cc3c(Cl)cccc3Cl)CC2)nc2c1c(=O)[nH]c(=O)n2C	3.633	1	7	8	493.439	202.281	Yes	5.506	No	I	I1/2	I	Type I	
CCc1cc2c(=O)n(CCc3ccc(OC)c(OC)c3)c(SCC(=O)c3c(N)n(C)c(=O)n(C)c3=O)nc2s1	2.235	1	13	10	571.681	231.362	No	5.586	No	I	I1/2	I	Type I	
c1nc(NCC2CC2)cc(N2CCC(c3nc(C4CC4)no3)C2)n1	2.553	1	7	6	326.404	140.419	Yes	5.862	No	I	I1/2	I	Type I	
Cc1cccc(CC2(C)CCCN2C(=O)c2ccc(C(=O)O)cn2)c1	3.326	1	3	4	338.407	146.864	No	5.427	No	I	II	I	Type I	
Cn1ccnc1C(O)C1CCN(C(=O)c2ccc(OCC(F)(F)F)cn2)CC1	2.342	1	6	5	398.385	159.316	Yes	5.646	No	I	II	I	Type I	
Cn1cnc2c1c(=O)n(CCCSc1nnc(COc3ccc(Cl)cc3)[nH]1)c(=O)n2C	1.967	1	10	8	461.935	185.395	Yes	5.545	No	I	I1/2	I	Type I	
NC1CCOC(C2CCCN(C(=O)c3nn(-c4cc(F)cc(F)c4)c4c3CCC4)C2)C1	2.998	1	5	3	430.499	179.893	Yes	5.367	No	I	I1/2	I	Type I	
C[C@@H]1Cc2c(C(=O)N(CCN(C)C)Cc3ccc(F)c(F)c3)n[nH]c2[C@H](C)O1	2.914	1	4	6	392.450	163.020	Yes	5.509	No	I	I1/2	I	Type I	
Cn1c(=O)ccn(CC(=O)N2CCCCC2c2nccs2)c1=O	0.757	0	7	3	334.401	136.366	No	5.592	No	I	I1/2	I	Type I	
COc1cc2nc(N3CCc4nc(C(C)(C)C)ncc4C3)nc(N)c2cc1OC	2.879	1	8	3	394.479	169.654	Yes	6.147	No	I	I1/2	I	Type I	
Cc1[nH]c(=O)c(C#N)c(C)c1CCC(=O)Nc1cc(C(F)(F)F)ccc1N1CCOCC1	3.290	2	5	5	448.445	182.352	Yes	5.574	No	I	I1/2	I	Type I	
C[C@H]1CN(C)c2ccccc2CN1C(=O)Nc1ccc(F)cc1N1CCOCC1	3.535	1	4	2	398.482	170.396	No	5.118	No	I	II	I	Type I	
Cc1cc(C)c(O)c(-c2n[nH]c3c2C(c2cccc(Cl)c2)N(Cc2cccnc2)C3=O)c1	5.193	2	4	4	444.922	190.057	Yes	5.552	No	I	I1/2	I	Type I	
CCC(c1ccncc1)N(CC)C(=O)c1ccc(C(=O)O)cn1	2.788	1	4	6	313.357	134.359	No	5.282	No	I	II	I	Type I	
CCOC(CCn1c(CC(C)C)nnc1N1CCC2(CC1)OCc1ccccc12)C(C)C	4.954	0	6	9	440.632	192.860	No	6.119	No	I	I1/2	I	Type I	
O=C1CC(Cc2ccc(C(=O)Nc3cccc4c3CN(c3ccccn3)C4)cc2)C(=O)N1	3.059	2	5	5	426.476	185.017	Yes	5.730	No	I	II	I	Type I	
Cc1c(NC(=O)c2c(O)cc(F)cc2F)cccc1C(=O)N1CCOCC1	2.704	2	4	3	376.359	153.909	Yes	5.422	No	I	I1/2	I	Type I	
O=S(=O)(c1ccc(N2CCN(CCN3c4cccc5cccc(c45)S3(=O)=O)CC2)nc1)N1CCOCC1	1.587	0	8	6	543.671	216.696	Yes	5.615	No	I	I1/2	I	Type I	
