SMILES	LogP	Donors	Acceptors	Rotable Bonds	Molecule Weight	Surface Area	CDK2 inhibitor	CDK2 pki	Allosteric or not	Type I or II	Type I1/2 or II	Type I or I1/2	final Decision
Cn1c(CN2CCCC2c2nc3ccccc3s2)cc(=O)n(C)c1=O	2.031	0	7	3	356.451	148.521	No	5.663	No	I	I1/2	I	Type I	
CC1CC(=O)Nc2ccccc2N1C(=O)CN(C)C(=O)C1=Cc2ccccc2OC1	2.685	1	4	3	405.454	174.469	No	5.586	No	I	II	I	Type I	
NS(=O)(=O)N1CCc2ccc(NC(=O)C3C4CC5CC(C4)CC3C5)cc21	2.263	2	3	3	375.494	153.860	Yes	5.627	No	I	I1/2	I	Type I	
O=C1CCCc2[nH]c(=O)c(C(=O)N3CCc4c(Cl)cc(F)cc4C3)cc21	2.885	1	3	1	374.799	153.329	Yes	5.704	No	I	I1/2	I	Type I	
Cc1c(NS(=O)(=O)c2ccc(N(C)CC(C)C#N)c([N+](=O)[O-])c2)c(=O)n(-c2ccccc2)n1C	2.789	1	9	8	484.538	196.195	Yes	5.765	No	I	I1/2	I	Type I	
CC(C)(O)CN1CCc2c(cccc2NC(=O)c2cccc3ccc(O)nc23)C1	3.322	3	5	4	391.471	169.363	Yes	5.412	No	I	I1/2	I	Type I	
CC(C)n1ncc2cc(NC(=O)c3cc(S(=O)(=O)NC4CC4)c(Cl)cc3Cl)cnc21	4.012	2	6	6	468.366	183.174	Yes	5.483	No	I	I1/2	I	Type I	
CC(C)N1C(=O)C[C@H](NCc2c(Cl)ncnc2N(C)C)[C@H]1c1ccc(Cl)c(F)c1	3.829	1	5	6	440.350	179.575	Yes	5.797	No	I	I1/2	I	Type I	
CCN1CCCC1CN(Cc1ccc(O)cc1)C(=O)c1cc(N2CCCC2=O)ccc1F	3.785	1	4	7	439.531	187.783	No	5.527	No	I	II	I	Type I	
Cc1cc(C(C)(C)C)cc(C)c1Cn1cnc(C#N)c1C#N	3.589	0	4	2	292.386	131.197	No	5.215	No	I	I1/2	I	Type I	
Cc1c(N(C)S(=O)(=O)c2cccc(C(=O)NCC(c3ccccc3)N(C)C)c2)c(=O)n(-c2ccccc2)n1C	3.342	1	7	9	547.681	228.493	No	5.695	No	I	II	I	Type I	
Cn1cnc2c1c(=O)n(CCCSc1nc3ccccc3[nH]1)c(=O)n2C	1.492	1	8	5	370.438	152.050	Yes	5.787	No	I	I1/2	I	Type I	
Cn1ncc2c1CCCC2Nc1cnn(-c2ccc(C(F)(F)F)cn2)c(=O)c1Cl	3.523	1	7	3	424.814	167.685	Yes	5.788	No	I	I1/2	I	Type I	
CCc1cc2c(=O)c(-c3nc4ccccc4n3C)c(C)oc2c(CN2CCCCC2)c1O	4.909	1	6	4	431.536	186.655	No	5.845	No	I	II	I	Type I	
CCCCCCCCCn1c(N(C)Cc2ccccc2)nc2c1c(=O)[nH]c(=O)n2C	3.810	1	6	11	411.550	176.920	Yes	5.438	No	I	I1/2	I	Type I	
Cn1nnc2c1CCC(NC(=O)c1ccc(Oc3cccc(F)c3)cn1)C2	2.429	1	6	4	367.384	154.735	Yes	5.801	No	I	I1/2	I	Type I	
N#Cc1ncn(CC(=O)c2ccc3c(c2)CCC(=O)N3)c1C#N	1.394	1	6	3	305.297	131.334	Yes	5.779	No	I	II	I	Type I	
CCCCn1c(=O)[nH]c(=O)c2c1nc(Cn1ncc(Cl)c(Cl)c1=O)n2CCC	2.008	1	8	7	427.292	169.087	Yes	5.621	No	I	I1/2	I	Type I	
CN1C(=O)N(CC(=O)Nc2cc(C(F)(F)F)ccc2N2CCOCC2)C(=O)C12CCCCC2	3.077	1	5	4	468.476	189.177	Yes	5.298	No	I	II	I	Type I	
CC(C)Cn1ncc(NC(=O)c2nccc3cccnc23)c1C(C)C	3.858	1	5	5	337.427	146.848	Yes	5.733	No	I	I1/2	I	Type I	
CCOc1cc(C(=O)Nc2nc(-c3cc(Cl)cc(Cl)c3OC(F)F)cs2)ccc1OCC(C)C	7.404	1	6	10	531.408	209.315	No	5.682	No	I	I1/2	I	Type I	
CCC(Oc1ccccc1)C(=O)N(C)CC(=O)N(CC(C)C)c1c(N)n(CC(C)C)c(=O)[nH]c1=O	2.080	2	7	11	487.601	205.231	Yes	6.281	No	I	I1/2	I	Type I	
CC(Nc1ccc(OC(F)(F)F)cc1)C(=O)Nc1ccc(C#N)c(Cl)c1	4.549	2	4	5	383.757	151.880	No	5.612	No	I	II	I	Type I	
Cc1ccc(CC(=O)N(C)CC(=O)N(CC(C)C)c2c(N)n(CC(C)C)c(=O)[nH]c2=O)cc1C	2.082	2	6	9	471.602	200.118	Yes	6.382	No	I	I1/2	I	Type I	
CC(NC(=O)c1ccc(Br)cn1)C(c1ccccc1)N(C)C	3.265	1	3	5	362.271	139.237	Yes	5.423	No	I	II	I	Type I	
Cc1cccc(C)c1NC(=O)CCc1nc2c(=O)[nH]c(=O)n(C)c2nc1O	0.911	3	7	4	369.381	153.277	Yes	5.595	No	I	I1/2	I	Type I	
O=C(OCC(=O)C12CC3CC(CC(C3)C1)C2)c1cccnc1Nc1cccc(C(F)(F)F)c1	5.786	1	5	6	458.480	189.283	Yes	5.675	No	I	I1/2	I	Type I	
Cc1c(NC(=O)CN2c3ccccc3CC2C)c(=O)n(-c2ccccc2)n1C	2.874	1	5	4	376.460	163.544	No	5.841	No	I	I1/2	I	Type I	
CC(NC(=O)c1cc(C#N)c(N)cc1O)c1ccc(OCC2CC2)c(F)c1	3.265	3	5	6	369.396	155.919	Yes	5.767	No	I	I1/2	I	Type I	
