SMILES	LogP	Donors	Acceptors	Rotable Bonds	Molecule Weight	Surface Area	CDK2 inhibitor	CDK2 pki	Allosteric or not	Type I or II	Type I1/2 or II	Type I or I1/2	final Decision
CC(NC(=O)CCCn1cnc2c1c(=O)n(C)c(=O)n2C)C1CC2CCC1C2	1.155	1	7	6	387.484	163.108	Yes	5.795	No	I	I1/2	I	Type I	
Cn1cnc2c1c(=O)n(CC(=O)NCc1ccccc1CN1CCOCC1)c(=O)n2C	-0.418	1	9	6	426.477	178.220	Yes	5.655	No	I	II	I	Type I	
COc1cc2nc(N3CCC(c4nncn4C(C)C)CC3)nc(N)c2cc1OC	2.786	1	9	5	397.483	169.407	Yes	6.190	No	I	I1/2	I	Type I	
CC(OC(=O)CCCn1cnc2c1c(=O)n(C)c(=O)n2C)C(=O)Nc1ccc(N2CCOCC2)cc1	0.621	1	11	8	498.540	206.589	No	6.818	No	I	II	I	Type I	
N#Cc1ncn(Cc2ccn(-c3ccc(F)cc3)n2)c1C#N	2.000	0	6	3	292.277	124.837	No	5.467	No	I	I1/2	I	Type I	
CC12CC3CC(C1)CC(c1ccc(O)c(C45CC6CC(CC(C)(C6)C4)C5)c1)(C3)C2	7.108	1	1	2	390.611	176.219	No	6.213	No	I	I1/2	I	Type I	
N#Cc1ccncc1O[C@H]1CCN(c2cccc(Nc3ccccc3OC(F)(F)F)n2)C1	4.648	1	7	6	441.413	181.595	Yes	5.594	No	I	II	I	Type I	
Cc1ccc(N2CCCC2=O)c(C(=O)Nc2cc3c(cc2F)NC(=O)CC3)c1	3.398	2	3	3	381.407	161.271	Yes	5.757	No	I	II	I	Type I	
O=c1[nH]ccc(N2CCC(COc3ccc(C(F)(F)F)cn3)CC2)c1[N+](=O)[O-]	2.992	1	6	5	398.341	156.661	Yes	5.720	No	I	I1/2	I	Type I	
CCOC(=O)c1cc2c(cc1Cl)N(CC)C(=CC=C1SC(=S)N(CC)C1=O)N2CC(O)CO	3.122	2	9	8	512.053	206.969	Yes	5.730	No	I	II	I	Type I	
Cc1nnc(Oc2ccc(F)c3c2C(=O)CC3C)c(C#N)c1C	3.586	0	5	2	311.316	132.278	No	5.361	No	I	I1/2	I	Type I	
Cc1nn(CC(O)COc2ccccc2C(C)C)c(=O)c(C#N)c1C	2.295	1	6	6	341.411	146.853	Yes	5.359	No	I	I1/2	I	Type I	
Cc1cn2c3c(=O)n(CCCc4ccccc4)c(=O)n(C)c3nc2n1CCCn1ccnc1	2.377	0	9	8	445.527	189.725	No	5.837	No	I	I1/2	I	Type I	
Cc1c(N(C)S(=O)(=O)c2cccc(C(=O)NCc3cccnc3)c2)c(=O)n(-c2ccccc2)n1C	2.635	1	7	7	491.573	202.858	Yes	5.960	No	I	I1/2	I	Type I	
Cc1sc2nc(CN3CCOCC3)nc(NCc3ccc(CN4CCOCC4)cc3)c2c1C	3.585	1	8	7	467.639	199.279	Yes	5.611	No	I	I1/2	I	Type I	
Cn1c(CN2CCN(S(=O)(=O)c3ccc(C4CCCCC4)cc3)CC2)cc(=O)n(C)c1=O	1.638	0	7	5	460.600	188.684	Yes	5.656	No	I	I1/2	I	Type I	
Cn1cnc2c1c(=O)n(CCCSCc1cccc3ccccc13)c(=O)n2C	2.910	0	7	6	394.500	165.986	No	5.625	No	I	I1/2	I	Type I	
CCOc1cc(Br)c(CC(=O)Nc2c(C#N)ccc(F)c2F)cc1OCC	4.578	1	4	7	439.256	163.573	No	5.686	No	I	I1/2	I	Type I	
Cc1c(C=NNc2ccccc2C(=O)O)c2ccccn2c1C#N	3.264	2	5	4	318.336	137.830	Yes	5.522	No	I	I1/2	I	Type I	
CN(Cc1nc(-c2ccc(Cl)cc2)no1)C1c2cc(Cl)cc(Cl)c2CC1O	4.787	1	5	4	424.715	171.013	No	5.417	No	I	I1/2	I	Type I	
CC(c1ccc(Cl)cc1Cl)N(C)c1ccc2nnc(C(F)(F)F)n2n1	4.647	0	5	3	390.196	150.525	No	5.574	No	I	I1/2	I	Type I	
Cn1c(-c2cccc3c2OC(C)(C)C3)nc2c1c(=O)[nH]c(=O)n2Cc1ccccc1	2.852	1	6	3	402.454	172.136	Yes	5.614	No	I	II	I	Type I	
Cc1nn(C)c2nc(C3CC3)cc(C(=O)Nc3ccc(F)c(NC(=O)Cn4cncn4)c3)c12	2.776	2	8	6	448.462	187.383	Yes	6.024	No	II	I1/2	I	Type II	
COCC(=O)N1CCc2c(NCc3cccc4c3OC(C)(C)C4)cccc21	3.548	1	4	5	366.461	159.825	No	5.562	No	I	I1/2	I	Type I	
CC(C)c1ccc(C(=O)OCCCn2c(=O)c3c(ncn3C)n(C)c2=O)cc1	1.804	0	8	6	384.436	161.551	No	5.642	No	I	I1/2	I	Type I	
Cc1c(NS(=O)(=O)c2ccc(NC3CCCCC3)c([N+](=O)[O-])c2)c(=O)n(-c2ccccc2)n1C	3.938	2	8	7	485.566	196.952	Yes	5.805	No	I	I1/2	I	Type I	
CC1(C)CC2CC(C)(CN2c2cnn(-c3ccccc3)c(=O)c2Cl)C1	4.291	0	4	2	357.885	152.969	No	6.053	No	I	I1/2	I	Type I	
C[C@@H]1Cc2c(C(=O)N(C)Cc3ccc(C(F)(F)F)cc3)n[nH]c2[C@H](C)O1	3.723	1	3	3	367.371	148.696	No	5.664	No	I	I1/2	I	Type I	
CCCCCCCCn1c(N(C)Cc2ccccc2)nc2c1c(=O)[nH]c(=O)n2C	3.420	1	6	10	397.523	170.555	Yes	5.465	No	I	I1/2	I	Type I	
CC1(C)Cc2ccc(C(=O)N3CCC(C(=O)c4c(F)cc(F)cc4F)CC3)c(O)c2O1	4.258	1	4	3	433.426	176.978	No	5.334	No	I	I1/2	I	Type I	
CN(CC(=O)Nc1c(Cl)cccc1Cl)C(=O)c1nn(-c2ccccc2)c2c1CCC2	4.379	1	4	5	443.334	183.941	No	5.560	No	I	II	I	Type I	
N#Cc1ncn(CC(=O)N2CCN(c3ccc(F)cc3)CC2)c1C#N	1.114	0	6	3	338.346	143.673	No	5.823	No	I	I1/2	I1/2	Type I1/2	
CCCc1c(C(=O)Nc2ccc(CC3NC(=O)NC3=O)cc2)[nH]c(C)c1C(C)=O	2.481	4	4	7	396.447	168.002	Yes	5.272	No	I	II	I	Type I	
CC1(C)CC(O)c2cccc(NC(=O)c3c[nH]nc3-c3cccc(OC(F)F)c3)c2O1	4.525	3	5	5	429.423	176.555	No	5.345	No	I	II	I	Type I	
Cc1nc(C(=O)Nc2c(C(C)C)cccc2C(C)C)c2n1CCCC2	5.027	1	3	4	339.483	150.212	Yes	5.562	No	I	I1/2	I	Type I	
CCOc1cc(N2CCOCC2)c(OCC)cc1NC(=O)COC(=O)COc1cccc2c1OC(C)(C)C2	3.595	1	9	11	528.602	222.630	No	5.714	No	I	II	I	Type I	
CN1CCN(c2ccc(Br)cc2NC(=O)c2ccc3c(c2)NC(=O)CCN3C)CC1=O	2.758	2	5	3	486.370	188.858	No	5.772	No	I	II	I	Type I	
Cc1cc(N2C(=O)Cc3c2nc(N)c2c(N)nc(N4CCN(CCO)CC4)c(C#N)c32)no1	0.297	3	11	4	449.475	188.520	Yes	5.866	No	I	I1/2	I	Type I	
COc1cc2c(cc1OC)C(CC(=O)O)N(C(=O)c1nn(C)c(=O)c3ccccc13)CC2	2.165	1	7	5	437.452	183.332	No	5.431	No	I	II	I	Type I	
Cn1c(=O)c2c(ncn2CC(=O)Nc2nc3ccccc3[nH]2)n(C)c1=O	-0.051	2	8	3	353.342	145.273	Yes	5.829	No	I	II	I	Type I	
O=C(c1ccc2c3c(cccc13)CC2)C(Br)[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-]	3.840	0	1	6	616.333	231.365	No	5.227	No	I	II	I	Type I	
CN(CCCOc1ccc(S(C)(=O)=O)cc1)c1nc2c(cnn2C(C)(C)C)c(=O)[nH]1	2.183	1	8	7	433.534	175.161	Yes	5.697	No	I	I1/2	I	Type I	
CN1CCC(Nc2ccccc2NC(=O)c2ccc3oc(=O)[nH]c3n2)CC1	2.275	3	6	4	367.409	155.135	Yes	5.863	No	I	II	I	Type I	
NC(=O)C1(N2CCCCC2)CCN(C2CC(=O)N(c3ccc(Cl)c(Cl)c3)C2=O)CC1	2.431	1	5	4	453.370	185.599	Yes	6.136	No	I	I1/2	I	Type I	
CN1CCN(c2ccc(CNc3c(F)cc(C#N)cc3F)cn2)CC1	2.595	1	5	4	343.381	145.050	Yes	5.543	No	I	I1/2	I	Type I	
C[C@H](NS(=O)(=O)c1ccc(Cl)c(C(F)(F)F)c1)C(=O)OCC(=O)Nc1sc2c(c1C(N)=O)CCCC2	3.247	3	7	8	567.995	212.736	Yes	5.961	No	I	I1/2	I	Type I	
CC(C)CCn1ncc(C(=O)NC(C)c2cccnc2)c1C(C)C	3.939	1	4	7	328.460	144.041	Yes	6.152	No	I	I1/2	I	Type I	
COc1ccc(CCSCCCn2c(=O)c3c(ncn3C)n(C)c2=O)cc1	1.808	0	8	8	388.493	161.147	Yes	5.526	No	I	I1/2	I	Type I	
C=CCCC1(C(=O)N2CC[C@H](c3ccc(F)c(F)c3)[C@H](NC(=O)c3ccc(Cl)c(S(=O)(=O)N(CC=C)c4ccc(F)cc4)c3)C2)CCN(C(=O)OC(C)(C)C)CC1	8.237	1	6	12	829.382	336.901	No	5.880	No	I	I1/2	I	Type I	
CC(C)(C)OC(=O)N1C2CCC1CC(CC(=O)NCc1c(F)c(F)c(F)c(F)c1F)C2	4.567	1	3	4	448.432	176.468	No	5.385	No	I	I1/2	I	Type I	
CCCn1nc(C(=O)OCC2=C(C(=O)OCC)C(c3ccccc3)NC(=O)N2)c2ccccc2c1=O	2.835	2	8	8	490.516	206.445	No	5.356	No	I	II	I	Type I	
C[C@@H]1Cc2c(nn(C)c2C(=O)NC2CCC(O)(c3cccnc3)CC2)[C@H](C)O1	2.397	2	6	3	384.480	164.667	Yes	6.082	No	I	I1/2	I	Type I	
CCc1cccc(CC)c1NC(=O)CCCn1cnc2c1c(=O)n(C)c(=O)n2C	1.977	1	7	7	397.479	168.352	Yes	5.590	No	I	I1/2	I	Type I	
Cc1cc(C(C#N)C(=O)Cc2ccc(-n3cccc3)cc2)nc(C)n1	3.303	0	5	5	330.391	146.148	No	5.472	No	I	I1/2	I	Type I	
Cc1ccc(OCc2cccc(C(=O)Nc3ccc(C(N)=O)cc3OCC(F)F)c2)cn1	3.964	2	5	9	441.434	182.726	No	5.621	No	II	II	I	Type II	
CC1CCCCN1CCCNC(=O)c1cc(S(=O)(=O)N2CCOCC2)ccc1N1CCCC1	2.302	1	6	8	478.659	197.848	Yes	6.297	No	I	I1/2	I	Type I	
CC(N=c1scc(-c2ccc(N3CCOC3=O)cc2)n1N=Cc1ccc(Br)cc1[N+](=O)[O-])c1ccc(Cl)cc1Cl	7.695	0	8	7	661.365	250.779	No	5.620	No	I	I1/2	I	Type I	
CN(C(=O)c1c(O)cc(F)cc1F)C1CC2CCC(C1)N2C(=O)OC(C)(C)C	3.673	1	4	2	396.434	162.610	No	5.698	No	I	I1/2	I	Type I	
Cc1ccnc2nc(C(=O)N(C)CC(=O)Nc3c(Cl)cccc3Cl)nn12	2.450	1	6	4	393.234	158.298	Yes	5.952	No	I	II	I	Type I	
COc1ccc(CCN2C(=O)c3[nH]nc(-c4ccccc4O)c3C2c2cccc(O)c2)cc1OC	4.293	3	6	7	471.513	201.921	No	5.502	No	I	I1/2	I	Type I	
CCc1nnsc1C(=O)N1CCc2cc(OC)c(OC)cc2C1CC(=O)O	2.332	1	7	6	391.449	160.425	No	5.739	No	I	II	I	Type I	
CN(C)Cc1ccc(C(N)=O)cc1NC(=O)c1nccc2ccccc12	2.648	2	4	5	348.406	151.187	Yes	5.564	No	I	I1/2	I	Type I	
Cn1c(=O)c2c(ncn2CCCC(=O)N2CCCC2c2nc3ccccc3s2)n(C)c1=O	2.187	0	9	5	452.540	187.098	Yes	5.530	No	I	I1/2	I	Type I	
Cn1c(=O)c2c(ncn2Cc2nc(N)nc(Nc3ccc(Cl)cc3)n2)n(C)c1=O	0.646	2	11	4	413.829	167.995	Yes	6.355	No	I	I1/2	I	Type I	
Cn1cnc2c1c(=O)n(Cc1nc(C3(c4ccncc4)CCC3)no1)c(=O)n2C	0.730	0	10	4	393.407	164.002	No	6.031	No	I	I1/2	I	Type I	
Cc1ccc(C)c(Cn2c(NN=Cc3ccc(Cl)cc3)nc3c2c(=O)[nH]c(=O)n3C)c1	3.188	2	7	5	436.903	182.382	Yes	5.823	No	I	I1/2	I	Type I	
CC(C)(C)OC(=O)C1CC(C(=O)N2CCC(c3nc(=O)[nH][nH]3)CC2)=NN1c1ccccc1	1.781	2	7	4	440.504	185.186	Yes	5.700	No	I	I1/2	I	Type I	
Cc1cc(N2CCn3ncc(S(C)(=O)=NC(=O)C4(C)CC4)c3C2)ncc1C#N	2.262	0	7	3	398.492	163.910	No	5.978	No	I	I1/2	I	Type I	
CN1CCN(c2ccncc2NC(=O)c2ccc(Nc3ccn(C)n3)cc2)CC1	2.563	2	7	5	391.479	169.702	Yes	6.121	No	I	I1/2	I	Type I	
Cc1c(NC(=O)CNc2ccc(S(=O)(=O)N3CCCCCC3)cc2)c(=O)n(-c2ccccc2)n1C	3.100	2	7	7	497.621	204.950	Yes	6.210	No	I	I1/2	I	Type I	
