SMILES,QED,ChemAIrank
COCC(=O)N1CCc2c(NCc3cccc4c3OC(C)(C)C4)cccc21,87.93,56.04
CC(C)c1ccc(C(=O)OCCCn2c(=O)c3c(ncn3C)n(C)c2=O)cc1,47.77,56.01
Cc1c(NS(=O)(=O)c2ccc(NC3CCCCC3)c([N+](=O)[O-])c2)c(=O)n(-c2ccccc2)n1C,38.53,55.98
CC1(C)CC2CC(C)(CN2c2cnn(-c3ccccc3)c(=O)c2Cl)C1,80.42,55.98
C[C@@H]1Cc2c(C(=O)N(C)Cc3ccc(C(F)(F)F)cc3)n[nH]c2[C@H](C)O1,89.95,55.95
CCCCCCCCn1c(N(C)Cc2ccccc2)nc2c1c(=O)[nH]c(=O)n2C,53.2,55.95
CC1(C)Cc2ccc(C(=O)N3CCC(C(=O)c4c(F)cc(F)cc4F)CC3)c(O)c2O1,73.5,55.93
CN(CC(=O)Nc1c(Cl)cccc1Cl)C(=O)c1nn(-c2ccccc2)c2c1CCC2,63.67,55.91
N#Cc1ncn(CC(=O)N2CCN(c3ccc(F)cc3)CC2)c1C#N,83.64,55.88
CCCc1c(C(=O)Nc2ccc(CC3NC(=O)NC3=O)cc2)[nH]c(C)c1C(C)=O,42.44,55.87
CC1(C)CC(O)c2cccc(NC(=O)c3c[nH]nc3-c3cccc(OC(F)F)c3)c2O1,55.4,55.87
Cc1nc(C(=O)Nc2c(C(C)C)cccc2C(C)C)c2n1CCCC2,84.93,55.87
CCOc1cc(N2CCOCC2)c(OCC)cc1NC(=O)COC(=O)COc1cccc2c1OC(C)(C)C2,43.82,55.87
CN1CCN(c2ccc(Br)cc2NC(=O)c2ccc3c(c2)NC(=O)CCN3C)CC1=O,69.75,55.84
Cc1cc(N2C(=O)Cc3c2nc(N)c2c(N)nc(N4CCN(CCO)CC4)c(C#N)c32)no1,49.92,55.8
COc1cc2c(cc1OC)C(CC(=O)O)N(C(=O)c1nn(C)c(=O)c3ccccc13)CC2,65.11,55.76
Cn1c(=O)c2c(ncn2CC(=O)Nc2nc3ccccc3[nH]2)n(C)c1=O,53.5,55.76
O=C(c1ccc2c3c(cccc13)CC2)C(Br)[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],16.12,55.75
CN(CCCOc1ccc(S(C)(=O)=O)cc1)c1nc2c(cnn2C(C)(C)C)c(=O)[nH]1,56.87,55.73
CN1CCC(Nc2ccccc2NC(=O)c2ccc3oc(=O)[nH]c3n2)CC1,65.36,55.72
NC(=O)C1(N2CCCCC2)CCN(C2CC(=O)N(c3ccc(Cl)c(Cl)c3)C2=O)CC1,70.82,55.72
CN1CCN(c2ccc(CNc3c(F)cc(C#N)cc3F)cn2)CC1,92.48,55.7
C[C@H](NS(=O)(=O)c1ccc(Cl)c(C(F)(F)F)c1)C(=O)OCC(=O)Nc1sc2c(c1C(N)=O)CCCC2,41.76,55.7
CC(C)CCn1ncc(C(=O)NC(C)c2cccnc2)c1C(C)C,83.73,55.68
COc1ccc(CCSCCCn2c(=O)c3c(ncn3C)n(C)c2=O)cc1,55.06,55.67
C=CCCC1(C(=O)N2CC[C@H](c3ccc(F)c(F)c3)[C@H](NC(=O)c3ccc(Cl)c(S(=O)(=O)N(CC=C)c4ccc(F)cc4)c3)C2)CCN(C(=O)OC(C)(C)C)CC1,18.41,55.65
CC(C)(C)OC(=O)N1C2CCC1CC(CC(=O)NCc1c(F)c(F)c(F)c(F)c1F)C2,41.73,55.63
CCCn1nc(C(=O)OCC2=C(C(=O)OCC)C(c3ccccc3)NC(=O)N2)c2ccccc2c1=O,46.47,55.61
C[C@@H]1Cc2c(nn(C)c2C(=O)NC2CCC(O)(c3cccnc3)CC2)[C@H](C)O1,84.82,55.61
CCc1cccc(CC)c1NC(=O)CCCn1cnc2c1c(=O)n(C)c(=O)n2C,66.0,55.59
Cc1cc(C(C#N)C(=O)Cc2ccc(-n3cccc3)cc2)nc(C)n1,71.94,55.58
Cc1ccc(OCc2cccc(C(=O)Nc3ccc(C(N)=O)cc3OCC(F)F)c2)cn1,52.31,55.57
CC1CCCCN1CCCNC(=O)c1cc(S(=O)(=O)N2CCOCC2)ccc1N1CCCC1,57.77,55.56
CC(N=c1scc(-c2ccc(N3CCOC3=O)cc2)n1N=Cc1ccc(Br)cc1[N+](=O)[O-])c1ccc(Cl)cc1Cl,11.51,55.55
CN(C(=O)c1c(O)cc(F)cc1F)C1CC2CCC(C1)N2C(=O)OC(C)(C)C,82.81,55.55
Cc1ccnc2nc(C(=O)N(C)CC(=O)Nc3c(Cl)cccc3Cl)nn12,73.53,55.54
COc1ccc(CCN2C(=O)c3[nH]nc(-c4ccccc4O)c3C2c2cccc(O)c2)cc1OC,37.11,55.54
CCc1nnsc1C(=O)N1CCc2cc(OC)c(OC)cc2C1CC(=O)O,80.62,55.52
CN(C)Cc1ccc(C(N)=O)cc1NC(=O)c1nccc2ccccc12,74.18,55.49
Cn1c(=O)c2c(ncn2CCCC(=O)N2CCCC2c2nc3ccccc3s2)n(C)c1=O,46.26,55.45
Cn1c(=O)c2c(ncn2Cc2nc(N)nc(Nc3ccc(Cl)cc3)n2)n(C)c1=O,49.67,55.44
Cn1cnc2c1c(=O)n(Cc1nc(C3(c4ccncc4)CCC3)no1)c(=O)n2C,50.21,55.43
Cc1ccc(C)c(Cn2c(NN=Cc3ccc(Cl)cc3)nc3c2c(=O)[nH]c(=O)n3C)c1,37.06,55.42
CC(C)(C)OC(=O)C1CC(C(=O)N2CCC(c3nc(=O)[nH][nH]3)CC2)=NN1c1ccccc1,69.87,55.42
Cc1cc(N2CCn3ncc(S(C)(=O)=NC(=O)C4(C)CC4)c3C2)ncc1C#N,78.54,55.42
CN1CCN(c2ccncc2NC(=O)c2ccc(Nc3ccn(C)n3)cc2)CC1,69.61,55.38
Cc1c(NC(=O)CNc2ccc(S(=O)(=O)N3CCCCCC3)cc2)c(=O)n(-c2ccccc2)n1C,52.19,55.37
