SMILES,QED,ChemAIrank
CC(C)c1ncc(Cl)c(C(=O)Nc2cccc(-c3nnnn3C)c2)n1,77.03,24.31
N#Cc1cc2c(nc1N1CCn3c(nnc3C(F)(F)F)C1)CCCC2,79.17,26.58
Cc1cc(C)n2cc(CN3CCCC3c3c(C)nn(C)c3C)nc2n1,73.65,25.14
Cn1c(CN2CCCC2c2nc3ccccc3s2)cc(=O)n(C)c1=O,72.05,57.33
Cn1c(CN2CCCC(c3nc4ccccc4[nH]3)C2)nnc1C1CC1,79.55,28.73
Cc1ccccc1NC1CCN(Cc2cc(=O)n(C)c(=O)n2C)CC1,91.41,31.54
CC(c1nc(C2CC2)no1)N1CCCC(c2nc3ccccc3[nH]2)C1,78.46,23.58
CC(c1nc(C2CC2)no1)N1CCCC(c2nc3ccccc3o2)C1,71.53,23.99
O=C1CCc2cc(C(=O)NCc3ccccc3OC(F)F)ccc2N1,87.42,27.7
Cn1cnnc1Sc1ccc(C(=O)Nc2cccc3ccccc23)cc1[N+](=O)[O-],39.26,26.09
CCOC(=O)c1cc(-c2ccccc2)sc1NC(=O)C(C)N1C(=O)NC(C)(c2ccc(Cl)cc2)C1=O,33.2,25.49
Cn1c(=O)c2cc(C(=O)NCc3ccccc3Cn3ccnc3)cnc2n(C)c1=O,53.01,32.62
COC(=O)c1c(NC(=O)CN2C(=O)NC3(CCCc4ccccc43)C2=O)sc2c1CCC2,54.72,24.91
Cc1cc2oc(=O)cc(CN3C(=O)NC4(CCCc5ccccc54)C3=O)c2cc1Cl,49.9,27.55
O=C1CN(c2ccc(NC(=O)c3c[nH]c(C(=O)N4CCCC4)c3)cn2)CCN1,72.56,29.46
Cc1cc(-n2c(C)cc(C(=O)CN3C(=O)NC4(CCCc5ccccc54)C3=O)c2C)no1,50.37,25.2
CCN(Cc1nc2cc(OC)c(OC)cc2c(=O)[nH]1)C(=O)C1CC(=O)N(c2cccc(C)c2C)C1,55.99,31.09
Cc1cc(C)cc(C(=O)Nc2cc(S(=O)(=O)N3CCOCC3)ccc2NCC(C)C)c1,67.93,25.59
CCCN(CC(=O)Nc1sc2c(c1C(=O)OC)CCCC2)Cc1nnc(-c2ccco2)o1,48.07,26.52
CC(C)CC(NC(=O)CCc1ncc(-c2c(F)cccc2F)o1)c1ccccc1,54.85,26.46
COc1ccc(-c2csc(NC(=O)Cc3nc4nc(C)cc(C)n4n3)n2)cc1F,54.1,24.07
CCC(=O)N1CCc2cc(C(=O)NCC(c3ccsc3)N(CC)CC)ccc21,73.33,27.31
CC(C1CC2CCC1C2)n1c(COc2ccccc2F)nnc1SCC(=O)N(C)C1CCS(=O)(=O)C1,45.09,37.16
CCN(C(=O)CSc1nnc(COc2ccccc2F)n1C(C)C1CC2CCC1C2)C1CCS(=O)(=O)C1,41.09,27.19
